ppi_item,curr_month,curr_year,lower,mid,upper,pred_year
Farm-level cattle,7,2022.0,-17.5,2.0,26.4,2023
Farm-level cattle,8,2022.0,-18.6,0.4,23.7,2023
Farm-level cattle,9,2022.0,-16.5,1.9,25.5,2023
Farm-level cattle,10,2022.0,-17.3,0.9,23.1,2023
Farm-level cattle,11,2022.0,-16.7,0.5,21.5,2023
Farm-level cattle,12,2022.0,-12.4,4.1,24.7,2023
Farm-level cattle,1,2023.0,-10.3,5.2,24.3,2023
Wholesale beef,7,2022.0,-19.9,0.1,25.6,2023
Wholesale beef,8,2022.0,-19.8,0.0,25.0,2023
Wholesale beef,9,2022.0,-20.0,-0.2,24.5,2023
Wholesale beef,10,2022.0,-20.8,-1.3,22.3,2023
Wholesale beef,11,2022.0,-21.7,-3.0,20.2,2023
Wholesale beef,12,2022.0,-20.9,-2.9,20.3,2023
Wholesale beef,1,2023.0,-20.1,-2.5,19.2,2023
Wholesale pork,7,2022.0,-16.8,-4.1,10.7,2023
Wholesale pork,8,2022.0,-16.5,-4.1,10.8,2023
Wholesale pork,9,2022.0,-16.5,-3.9,10.8,2023
Wholesale pork,10,2022.0,-16.4,-3.6,10.9,2023
Wholesale pork,11,2022.0,-15.8,-3.2,11.4,2023
Wholesale pork,12,2022.0,-15.6,-3.2,11.2,2023
Wholesale pork,1,2023.0,-15.2,-3.6,9.6,2023
Wholesale poultry,7,2022.0,-10.8,4.6,23.2,2023
Wholesale poultry,8,2022.0,-12.4,2.5,19.6,2023
Wholesale poultry,9,2022.0,-13.4,-0.1,15.6,2023
Wholesale poultry,10,2022.0,-16.7,-4.6,9.2,2023
Wholesale poultry,11,2022.0,-28.8,-15.7,0.3,2023
Wholesale poultry,12,2022.0,-17.6,-6.5,6.4,2023
Wholesale poultry,1,2023.0,-22.5,-12.1,-0.2,2023
Farm-level eggs,7,2022.0,-60.5,-36.8,0.7,2023
Farm-level eggs,8,2022.0,-64.8,-41.9,-4.8,2023
Farm-level eggs,9,2022.0,-63.7,-41.3,-4.8,2023
Farm-level eggs,10,2022.0,-64.4,-41.5,-3.5,2023
Farm-level eggs,11,2022.0,-63.0,-38.6,2.6,2023
Farm-level eggs,12,2022.0,-59.6,-31.6,17.1,2023
Farm-level eggs,1,2023.0,-49.1,-13.4,51.4,2023
Farm-level milk,7,2022.0,-34.4,-19.2,0.0,2023
Farm-level milk,8,2022.0,-34.4,-19.2,-0.8,2023
Farm-level milk,9,2022.0,-34.2,-19.3,-0.8,2023
Farm-level milk,10,2022.0,-34.2,-18.2,1.4,2023
Farm-level milk,11,2022.0,-32.0,-15.7,4.5,2023
Farm-level milk,12,2022.0,-30.1,-2.1,39.6,2023
Farm-level milk,1,2023.0,-32.3,-8.0,27.7,2023
Wholesale dairy,7,2022.0,-12.7,2.6,21.3,2023
Wholesale dairy,8,2022.0,-13.1,2.0,19.6,2023
Wholesale dairy,9,2022.0,-13.9,0.5,17.9,2023
Wholesale dairy,10,2022.0,-12.8,1.1,17.9,2023
Wholesale dairy,11,2022.0,-12.1,1.5,17.0,2023
Wholesale dairy,12,2022.0,-12.2,0.2,13.9,2023
Wholesale dairy,1,2023.0,-10.4,0.5,13.1,2023
Farm-level soybeans,7,2022.0,-25.7,3.7,45.7,2023
Farm-level soybeans,8,2022.0,-29.5,-2.2,37.7,2023
Farm-level soybeans,9,2022.0,-29.0,-2.0,35.0,2023
Farm-level soybeans,10,2022.0,-27.7,-2.1,34.7,2023
Farm-level soybeans,11,2022.0,-32.6,-9.6,23.1,2023
Farm-level soybeans,12,2022.0,-27.4,-3.6,28.2,2023
Farm-level soybeans,1,2023.0,-24.2,-2.3,27.8,2023
Wholesale fats and oils,7,2022.0,-9.2,26.4,80.6,2023
Wholesale fats and oils,8,2022.0,-32.2,-4.7,39.0,2023
Wholesale fats and oils,9,2022.0,-33.0,-7.8,29.7,2023
Wholesale fats and oils,10,2022.0,-28.4,-4.9,28.9,2023
Wholesale fats and oils,11,2022.0,-31.3,-12.1,14.1,2023
Wholesale fats and oils,12,2022.0,-17.8,2.1,28.8,2023
Wholesale fats and oils,1,2023.0,-23.8,-9.2,10.2,2023
Farm-level fruits,7,2022.0,-14.8,-2.5,11.2,2023
Farm-level fruits,8,2022.0,-14.6,-2.1,12.0,2023
Farm-level fruits,9,2022.0,-14.5,-1.9,12.7,2023
Farm-level fruits,10,2022.0,-14.3,-1.7,12.5,2023
Farm-level fruits,11,2022.0,-12.6,0.8,16.0,2023
Farm-level fruits,12,2022.0,-10.8,2.9,18.3,2023
Farm-level fruits,1,2023.0,-11.2,1.6,16.6,2023
Farm-level vegetables,7,2022.0,-23.4,-5.9,15.2,2023
Farm-level vegetables,8,2022.0,-21.8,-5.7,14.3,2023
Farm-level vegetables,9,2022.0,-21.8,-5.7,14.9,2023
Farm-level vegetables,10,2022.0,-23.2,-6.3,14.6,2023
Farm-level vegetables,11,2022.0,-24.2,-4.7,18.8,2023
Farm-level vegetables,12,2022.0,-18.6,6.8,41.0,2023
Farm-level vegetables,1,2023.0,-15.5,12.1,47.0,2023
Farm-level wheat,7,2022.0,-27.9,3.5,48.0,2023
Farm-level wheat,8,2022.0,-37.6,-9.7,31.7,2023
Farm-level wheat,9,2022.0,-38.0,-11.3,28.1,2023
Farm-level wheat,10,2022.0,-33.5,-5.2,35.5,2023
Farm-level wheat,11,2022.0,-30.5,-2.8,37.3,2023
Farm-level wheat,12,2022.0,-30.4,-5.4,30.6,2023
Farm-level wheat,1,2023.0,-33.4,-11.5,18.7,2023
Wholesale wheat flour,7,2022.0,-15.1,-0.8,16.5,2023
Wholesale wheat flour,8,2022.0,-15.7,0.0,18.4,2023
Wholesale wheat flour,9,2022.0,-16.9,-1.8,15.6,2023
Wholesale wheat flour,10,2022.0,-14.5,0.2,18.3,2023
Wholesale wheat flour,11,2022.0,-12.3,2.4,19.4,2023
Wholesale wheat flour,12,2022.0,-10.8,2.8,18.9,2023
Wholesale wheat flour,1,2023.0,-12.4,0.2,14.6,2023
