cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2004.0,1.1,2.6,4.1,2005
All food,8,2004.0,1.2,2.7,4.2,2005
All food,9,2004.0,1.0,2.5,4.0,2005
All food,10,2004.0,0.9,2.3,3.7,2005
All food,11,2004.0,1.3,2.7,4.1,2005
All food,12,2004.0,1.4,2.6,4.0,2005
All food,1,2005.0,1.5,2.6,3.8,2005
All food,2,2005.0,1.7,2.8,3.8,2005
All food,3,2005.0,1.5,2.4,3.3,2005
All food,4,2005.0,1.6,2.4,3.1,2005
All food,5,2005.0,2.0,2.6,3.3,2005
All food,6,2005.0,2.1,2.6,3.2,2005
All food,7,2005.0,2.0,2.5,2.9,2005
All food,8,2005.0,2.1,2.5,2.8,2005
All food,9,2005.0,2.1,2.4,2.7,2005
All food,10,2005.0,2.2,2.4,2.6,2005
All food,11,2005.0,2.3,2.4,2.6,2005
All food,12,2005.0,2.3,2.4,2.5,2005
Food away from home,7,2004.0,1.7,2.6,3.5,2005
Food away from home,8,2004.0,2.0,2.9,3.8,2005
Food away from home,9,2004.0,2.1,3.0,3.9,2005
Food away from home,10,2004.0,2.2,3.1,3.9,2005
Food away from home,11,2004.0,2.3,3.1,3.9,2005
Food away from home,12,2004.0,2.2,2.9,3.6,2005
Food away from home,1,2005.0,2.1,2.8,3.4,2005
Food away from home,2,2005.0,2.6,3.1,3.7,2005
Food away from home,3,2005.0,2.7,3.2,3.7,2005
Food away from home,4,2005.0,2.7,3.1,3.5,2005
Food away from home,5,2005.0,2.7,3.1,3.4,2005
Food away from home,6,2005.0,2.8,3.1,3.4,2005
Food away from home,7,2005.0,2.9,3.2,3.4,2005
Food away from home,8,2005.0,2.9,3.1,3.3,2005
Food away from home,9,2005.0,3.0,3.2,3.3,2005
Food away from home,10,2005.0,3.0,3.1,3.3,2005
Food away from home,11,2005.0,3.1,3.2,3.3,2005
Food away from home,12,2005.0,3.1,3.2,3.2,2005
Food at home,7,2004.0,0.5,2.8,5.2,2005
Food at home,8,2004.0,0.5,2.8,5.1,2005
Food at home,9,2004.0,0.2,2.5,4.8,2005
Food at home,10,2004.0,-0.1,2.1,4.3,2005
Food at home,11,2004.0,0.6,2.7,4.8,2005
Food at home,12,2004.0,0.6,2.6,4.6,2005
Food at home,1,2005.0,0.9,2.7,4.4,2005
Food at home,2,2005.0,1.1,2.7,4.3,2005
Food at home,3,2005.0,0.6,2.0,3.4,2005
Food at home,4,2005.0,0.7,1.9,3.0,2005
Food at home,5,2005.0,1.4,2.4,3.4,2005
Food at home,6,2005.0,1.6,2.4,3.3,2005
Food at home,7,2005.0,1.3,2.0,2.7,2005
Food at home,8,2005.0,1.5,2.0,2.6,2005
Food at home,9,2005.0,1.4,1.9,2.3,2005
Food at home,10,2005.0,1.6,1.9,2.2,2005
Food at home,11,2005.0,1.7,1.9,2.1,2005
Food at home,12,2005.0,1.8,1.9,2.0,2005
"Meats, poultry, and fish",7,2004.0,-0.5,3.4,7.4,2005
"Meats, poultry, and fish",8,2004.0,0.0,3.9,8.0,2005
"Meats, poultry, and fish",9,2004.0,-0.2,3.5,7.4,2005
"Meats, poultry, and fish",10,2004.0,-0.2,3.5,7.2,2005
"Meats, poultry, and fish",11,2004.0,-0.5,3.0,6.4,2005
"Meats, poultry, and fish",12,2004.0,-0.7,2.5,5.8,2005
"Meats, poultry, and fish",1,2005.0,-0.4,2.7,5.8,2005
"Meats, poultry, and fish",2,2005.0,0.2,2.9,5.7,2005
"Meats, poultry, and fish",3,2005.0,0.3,2.7,5.1,2005
"Meats, poultry, and fish",4,2005.0,0.9,2.9,5.0,2005
"Meats, poultry, and fish",5,2005.0,1.3,3.0,4.8,2005
"Meats, poultry, and fish",6,2005.0,1.6,3.0,4.4,2005
"Meats, poultry, and fish",7,2005.0,1.9,3.0,4.1,2005
"Meats, poultry, and fish",8,2005.0,1.7,2.5,3.4,2005
"Meats, poultry, and fish",9,2005.0,1.9,2.5,3.1,2005
"Meats, poultry, and fish",10,2005.0,2.0,2.5,2.9,2005
"Meats, poultry, and fish",11,2005.0,2.1,2.3,2.6,2005
