consumer_price_index_item,year,annual_percent_change
Fresh fruits  ,2018,1
Fresh vegetables,2018,1.1
Processed fruits and vegetables,2018,-0.6
Sugar and sweets,2018,0.4
Cereals and bakery products,2018,0.4
Nonalcoholic beverages,2018,0
Other foods,2018,0.1
All food,2019,1.9
Food away from home,2019,3.1
Food at home,2019,0.9
"Meats, poultry, and fish",2019,1
Meats ,2019,1.3
Beef and veal,2019,1.6
Pork,2019,1.2
Other meats,2019,0.9
Poultry,2019,-0.3
Fish and seafood,2019,1.6
Eggs,2019,-10
Dairy products,2019,1
Fats and oils,2019,-0.7
Fruits and vegetables,2019,1
Fresh fruits and vegetables,2019,1
Fresh fruits  ,2019,-1.4
Fresh vegetables,2019,3.8
Processed fruits and vegetables,2019,1.1
Sugar and sweets,2019,2
Cereals and bakery products,2019,1.4
Nonalcoholic beverages,2019,1.9
Other foods,2019,0.3
All food,2020,3.4
Food away from home,2020,3.4
Food at home,2020,3.5
"Meats, poultry, and fish",2020,6.3
Meats ,2020,7.4
Beef and veal,2020,9.6
Pork,2020,6.3
Other meats,2020,4.4
Poultry,2020,5.6
Fish and seafood,2020,3.3
Eggs,2020,4.3
Dairy products,2020,4.4
Fats and oils,2020,1.3
Fruits and vegetables,2020,1.4
Fresh fruits and vegetables,2020,0.8
Fresh fruits  ,2020,-0.8
Fresh vegetables,2020,2.6
Processed fruits and vegetables,2020,3.5
Sugar and sweets,2020,3.3
Cereals and bakery products,2020,2.2
Nonalcoholic beverages,2020,3.6
Other foods,2020,3.1
All food,2021,3.9
Food away from home,2021,4.5
Food at home,2021,3.5
"Meats, poultry, and fish",2021,6.8
Meats ,2021,7.7
Beef and veal,2021,9.3
Pork,2021,8.6
Other meats,2021,2.9
Poultry,2021,5.1
Fish and seafood,2021,5.4
Eggs,2021,4.5
Dairy products,2021,1.4
Fats and oils,2021,4.6
Fruits and vegetables,2021,3.3
Fresh fruits and vegetables,2021,3.3
Fresh fruits  ,2021,5.5
Fresh vegetables,2021,1.1
Processed fruits and vegetables,2021,2.9
Sugar and sweets,2021,3
Cereals and bakery products,2021,2.3
Nonalcoholic beverages,2021,2.8
Other foods,2021,2.2
