consumer_price_index_item,year,annual_percent_change
Meats ,1983,-1.2
Beef and veal,1983,-1.5
Pork,1983,-0.9
Other meats,1983,-0.4
Poultry,1983,1.3
Fish and seafood,1983,1.1
Eggs,1983,4.7
Dairy products,1983,1.2
Fats and oils,1983,1.4
Fruits and vegetables,1983,0.3
Fresh fruits and vegetables,1983,-0.3
Fresh fruits  ,1983,-4.2
Fresh vegetables,1983,3.6
Sugar and sweets,1983,1.8
Cereals and bakery products,1983,3.2
Nonalcoholic beverages,1983,1.9
Other foods,1983,3.1
All food,1984,3.8
Food away from home,1984,4.2
Food at home,1984,3.7
"Meats, poultry, and fish",1984,1.7
Meats ,1984,0.3
Beef and veal,1984,1.2
Pork,1984,-1.3
Other meats,1984,0.4
Poultry,1984,10.6
Fish and seafood,1984,3.2
Eggs,1984,11.7
Dairy products,1984,1.3
Fats and oils,1984,9.4
Fruits and vegetables,1984,8.6
Fresh fruits and vegetables,1984,10.9
Fresh fruits  ,1984,11
Fresh vegetables,1984,10.9
Sugar and sweets,1984,3.9
Cereals and bakery products,1984,4.3
Nonalcoholic beverages,1984,2.5
Other foods,1984,3
All food,1985,2.3
Food away from home,1985,3.9
Food at home,1985,1.5
"Meats, poultry, and fish",1985,-0.4
Meats ,1985,-0.9
Beef and veal,1985,-2.1
Pork,1985,0.3
Other meats,1985,0.7
Poultry,1985,-1
Fish and seafood,1985,4.9
Eggs,1985,-16.6
Dairy products,1985,1.9
Fats and oils,1985,2.2
Fruits and vegetables,1985,2.6
Fresh fruits and vegetables,1985,2.6
Fresh fruits  ,1985,10.1
Fresh vegetables,1985,-4.3
Sugar and sweets,1985,2.5
Cereals and bakery products,1985,3.8
Nonalcoholic beverages,1985,2
Other foods,1985,3.3
All food,1986,3.2
Food away from home,1986,3.9
Food at home,1986,2.9
"Meats, poultry, and fish",1986,4.4
Meats ,1986,3.1
Beef and veal,1986,0.6
Pork,1986,8.2
Other meats,1986,2.6
Poultry,1986,7.5
Fish and seafood,1986,9.2
Eggs,1986,6.8
Dairy products,1986,0.1
Fats and oils,1986,-2.2
Fruits and vegetables,1986,0.9
Fresh fruits and vegetables,1986,3
Fresh fruits  ,1986,2.1
Fresh vegetables,1986,4.1
Sugar and sweets,1986,3
Cereals and bakery products,1986,2.8
Nonalcoholic beverages,1986,5.8
Other foods,1986,2.6
All food,1987,4.1
Food away from home,1987,4
Food at home,1987,4.3
"Meats, poultry, and fish",1987,6.5
Meats ,1987,7.5
Beef and veal,1987,7.6
Pork,1987,8.2
Other meats,1987,6.3
Poultry,1987,-1.4
Fish and seafood,1987,10.6
Eggs,1987,-5.9
Dairy products,1987,2.5
Fats and oils,1987,1.5
Fruits and vegetables,1987,8.9
Fresh fruits and vegetables,1987,12.2
Fresh fruits  ,1987,11.2
Fresh vegetables,1987,12.9
Sugar and sweets,1987,1.8
Cereals and bakery products,1987,3.5
Nonalcoholic beverages,1987,-2.6
Other foods,1987,4.2
All food,1988,4.1
Food away from home,1988,4.1
Food at home,1988,4.2
"Meats, poultry, and fish",1988,3.5
Meats ,1988,2.4
Beef and veal,1988,5.5
Pork,1988,-3
Other meats,1988,2.6
Poultry,1988,7.2
Fish and seafood,1988,5.8
Eggs,1988,2.3
Dairy products,1988,2.4
Fats and oils,1988,4.6
Fruits and vegetables,1988,7.6
Fresh fruits and vegetables,1988,7.3
Fresh fruits  ,1988,8.3
Fresh vegetables,1988,6.3
Sugar and sweets,1988,2.7
Cereals and bakery products,1988,6.4
Nonalcoholic beverages,1988,0
Other foods,1988,3.7
All food,1989,5.8
Food away from home,1989,4.6
Food at home,1989,6.5
"Meats, poultry, and fish",1989,5
Meats ,1989,4
Beef and veal,1989,6.4
Pork,1989,0.6
Other meats,1989,2.8
Poultry,1989,9.9
Fish and seafood,1989,4.5
Eggs,1989,26.6
Dairy products,1989,6.6
Fats and oils,1989,7.2
Fruits and vegetables,1989,7.7
Fresh fruits and vegetables,1989,8.5
Fresh fruits  ,1989,6.6
Fresh vegetables,1989,10.7
Sugar and sweets,1989,4.7
Cereals and bakery products,1989,8.4
Nonalcoholic beverages,1989,3.5
Other foods,1989,6.4
All food,1990,5.8
Food away from home,1990,4.7
Food at home,1990,6.5
"Meats, poultry, and fish",1990,7.3
Meats ,1990,10.1
Beef and veal,1990,8
Pork,1990,14.7
Other meats,1990,9.3
Poultry,1990,-0.2
Fish and seafood,1990,2.2
Eggs,1990,4.7
Dairy products,1990,9.4
Fats and oils,1990,4.2
Fruits and vegetables,1990,8
Fresh fruits and vegetables,1990,9
Fresh fruits  ,1990,12.1
Fresh vegetables,1990,5.6
Sugar and sweets,1990,4.4
Cereals and bakery products,1990,5.7
Nonalcoholic beverages,1990,2
Other foods,1990,4.5
All food,1991,2.9
Food away from home,1991,3.4
Food at home,1991,2.6
"Meats, poultry, and fish",1991,2.3
Meats ,1991,3.1
Beef and veal,1991,2.8
Pork,1991,3.3
Other meats,1991,3.7
Poultry,1991,-0.8
Fish and seafood,1991,1.1
Eggs,1991,-2.3
Dairy products,1991,-1.1
Fats and oils,1991,4.3
Fruits and vegetables,1991,4.6
Fresh fruits and vegetables,1991,8.1
Fresh fruits  ,1991,13.5
Fresh vegetables,1991,2.2
Sugar and sweets,1991,3.7
Cereals and bakery products,1991,4.1
Nonalcoholic beverages,1991,0.5
Other foods,1991,4.5
All food,1992,1.2
Food away from home,1992,2
Food at home,1992,0.7
"Meats, poultry, and fish",1992,-0.8
Meats ,1992,-1.4
Beef and veal,1992,-0.1
Pork,1992,-4.7
Other meats,1992,0.2
Poultry,1992,-0.1
Fish and seafood,1992,2.3
Eggs,1992,-10.6
Dairy products,1992,2.7
Fats and oils,1992,-1.4
Fruits and vegetables,1992,-0.3
Fresh fruits and vegetables,1992,-1.8
Fresh fruits  ,1992,-5
Fresh vegetables,1992,2.3
Sugar and sweets,1992,2.9
Cereals and bakery products,1992,3.9
Nonalcoholic beverages,1992,0.2
Other foods,1992,2.2
All food,1993,2.2
Food away from home,1993,1.8
Food at home,1993,2.4
"Meats, poultry, and fish",1993,3.3
Meats ,1993,3
Beef and veal,1993,3.6
Pork,1993,3.1
Other meats,1993,1.6
Poultry,1993,4.2
Fish and seafood,1993,3.2
Eggs,1993,8.1
Dairy products,1993,0.7
Fats and oils,1993,0.2
Fruits and vegetables,1993,2.3
Fresh fruits and vegetables,1993,4.4
Fresh fruits  ,1993,2.5
Fresh vegetables,1993,6.6
Sugar and sweets,1993,0.2
Cereals and bakery products,1993,3.4
Nonalcoholic beverages,1993,0.3
Other foods,1993,2.6
All food,1994,2.4
Food away from home,1994,1.7
Food at home,1994,2.9
"Meats, poultry, and fish",1994,1.5
Meats ,1994,0.6
Beef and veal,1994,-0.8
Pork,1994,1.7
Other meats,1994,2.4
Poultry,1994,3.4
Fish and seafood,1994,4.5
Eggs,1994,-2.4
Dairy products,1994,1.8
Fats and oils,1994,2.7
Fruits and vegetables,1994,3.8
Fresh fruits and vegetables,1994,4.5
Fresh fruits  ,1994,6.6
Fresh vegetables,1994,2.3
Sugar and sweets,1994,1.3
Cereals and bakery products,1994,4.1
Nonalcoholic beverages,1994,7.5
Other foods,1994,2.6
All food,1995,2.8
Food away from home,1995,2.3
Food at home,1995,3.3
"Meats, poultry, and fish",1995,0.9
Meats ,1995,0.1
Beef and veal,1995,-0.8
Pork,1995,0.7
Other meats,1995,1.5
Poultry,1995,1.4
Fish and seafood,1995,4.8
Eggs,1995,5.4
Dairy products,1995,0.8
Fats and oils,1995,2.8
Fruits and vegetables,1995,7.7
Fresh fruits and vegetables,1995,10.3
Fresh fruits  ,1995,8.8
Fresh vegetables,1995,12.1
Sugar and sweets,1995,1.7
Cereals and bakery products,1995,2.8
Nonalcoholic beverages,1995,6.9
Other foods,1995,2.4
All food,1996,3.3
Food away from home,1996,2.5
Food at home,1996,3.7
"Meats, poultry, and fish",1996,3.5
Meats ,1996,3.5
Beef and veal,1996,-0.3
Pork,1996,9.9
Other meats,1996,3.6
Poultry,1996,6.2
Fish and seafood,1996,0.9
Eggs,1996,17.9
Dairy products,1996,7
Fats and oils,1996,2.3
Fruits and vegetables,1996,3.5
Fresh fruits and vegetables,1996,2.8
Fresh fruits  ,1996,7
Fresh vegetables,1996,-2
Sugar and sweets,1996,4.5
Cereals and bakery products,1996,3.9
Nonalcoholic beverages,1996,-2.4
Other foods,1996,3.4
All food,1997,2.6
Food away from home,1997,2.8
Food at home,1997,2.5
"Meats, poultry, and fish",1997,2.9
Meats ,1997,3
Beef and veal,1997,1.7
Pork,1997,5.2
Other meats,1997,2.8
Poultry,1997,2.8
Fish and seafood,1997,2.3
Eggs,1997,-1.5
Dairy products,1997,2.4
Fats and oils,1997,0.9
Fruits and vegetables,1997,2
Fresh fruits and vegetables,1997,1.7
Fresh fruits  ,1997,0.8
Fresh vegetables,1997,2.9
Sugar and sweets,1997,2.9
Cereals and bakery products,1997,2.1
Nonalcoholic beverages,1997,3.7
Other foods,1997,3.2
All food,1998,2.2
Food away from home,1998,2.6
Food at home,1998,1.9
"Meats, poultry, and fish",1998,-0.8
Meats ,1998,-1.9
Beef and veal,1998,-0.2
Pork,1998,-4.7
Other meats,1998,-0.9
Poultry,1998,0.3
Fish and seafood,1998,2.6
Eggs,1998,-3.3
Dairy products,1998,3.6
Fats and oils,1998,3.7
Fruits and vegetables,1998,5.7
Fresh fruits and vegetables,1998,7.3
Fresh fruits  ,1998,4.3
Fresh vegetables,1998,10.9
Sugar and sweets,1998,1.6
Cereals and bakery products,1998,2
Nonalcoholic beverages,1998,-0.3
Other foods,1998,2.7
All food,1999,2.1
Food away from home,1999,2.5
Food at home,1999,1.9
"Meats, poultry, and fish",1999,0.7
Meats ,1999,0.5
Beef and veal,1999,2
Pork,1999,-1.8
Other meats,1999,1
Poultry,1999,0.5
Fish and seafood,1999,2
Eggs,1999,-5.4
Dairy products,1999,5.8
Fats and oils,1999,1
Fruits and vegetables,1999,2.5
Fresh fruits and vegetables,1999,2.6
Fresh fruits  ,1999,8
Fresh vegetables,1999,-3
Processed fruits and vegetables,1999,2.3
Sugar and sweets,1999,1.4
Cereals and bakery products,1999,2.2
Nonalcoholic beverages,1999,1
Other foods,1999,2.1
All food,2000,2.3
Food away from home,2000,2.4
Food at home,2000,2.3
"Meats, poultry, and fish",2000,4.5
Meats ,2000,5.9
Beef and veal,2000,6.4
Pork,2000,7.3
Other meats,2000,2.6
Poultry,2000,1.2
Fish and seafood,2000,2.8
Eggs,2000,3
Dairy products,2000,0.7
Fats and oils,2000,-0.6
Fruits and vegetables,2000,0.7
Fresh fruits and vegetables,2000,0.7
Fresh fruits  ,2000,-3
Fresh vegetables,2000,4.8
Processed fruits and vegetables,2000,1.1
Sugar and sweets,2000,1.1
Cereals and bakery products,2000,1.8
Nonalcoholic beverages,2000,2.6
Other foods,2000,2
All food,2001,3.2
Food away from home,2001,2.9
Food at home,2001,3.3
"Meats, poultry, and fish",2001,4.4
Meats ,2001,5.7
Beef and veal,2001,8.4
Pork,2001,3.8
Other meats,2001,2.9
Poultry,2001,3.2
Fish and seafood,2001,0.4
Eggs,2001,3.4
Dairy products,2001,4
Fats and oils,2001,5.6
Fruits and vegetables,2001,3.7
Fresh fruits and vegetables,2001,3.8
Fresh fruits  ,2001,2.6
Fresh vegetables,2001,5.1
Processed fruits and vegetables,2001,3.2
Sugar and sweets,2001,1.1
Cereals and bakery products,2001,2.9
Nonalcoholic beverages,2001,1
Other foods,2001,2.2
All food,2002,1.8
Food away from home,2002,2.5
Food at home,2002,1.3
"Meats, poultry, and fish",2002,0.5
Meats ,2002,0.6
Beef and veal,2002,0.1
Pork,2002,-0.4
Other meats,2002,3.5
