cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
Beef and veal,2,2015.0,3.5,9.9,16.8,2015
Beef and veal,3,2015.0,4.8,10.4,16.3,2015
Beef and veal,4,2015.0,4.9,9.8,14.9,2015
Beef and veal,5,2015.0,5.8,9.8,14.0,2015
Beef and veal,6,2015.0,6.0,9.2,12.6,2015
Beef and veal,7,2015.0,7.1,9.7,12.5,2015
Beef and veal,8,2015.0,6.9,8.9,11.0,2015
Beef and veal,9,2015.0,7.0,8.5,10.0,2015
Beef and veal,10,2015.0,7.2,8.1,9.1,2015
Beef and veal,11,2015.0,7.2,7.7,8.3,2015
Beef and veal,12,2015.0,7.2,7.4,7.7,2015
Pork,7,2014.0,-6.0,2.5,11.6,2015
Pork,8,2014.0,-5.4,3.0,12.2,2015
Pork,9,2014.0,-4.0,4.6,13.8,2015
Pork,10,2014.0,-4.0,4.1,13.1,2015
Pork,11,2014.0,-4.4,3.2,11.4,2015
Pork,12,2014.0,-6.2,0.8,8.5,2015
Pork,1,2015.0,-7.4,-0.7,6.6,2015
Pork,2,2015.0,-6.0,-0.2,6.2,2015
Pork,3,2015.0,-6.6,-1.6,3.8,2015
Pork,4,2015.0,-7.3,-3.1,1.4,2015
Pork,5,2015.0,-8.9,-5.4,-1.7,2015
Pork,6,2015.0,-7.5,-4.6,-1.5,2015
Pork,7,2015.0,-6.7,-4.4,-2.0,2015
Pork,8,2015.0,-5.5,-3.7,-1.8,2015
Pork,9,2015.0,-4.9,-3.6,-2.2,2015
Pork,10,2015.0,-4.3,-3.4,-2.5,2015
Pork,11,2015.0,-3.8,-3.3,-2.8,2015
Pork,12,2015.0,-4.0,-3.8,-3.6,2015
Other meats,7,2014.0,-1.5,3.2,7.9,2015
Other meats,8,2014.0,-1.5,3.2,8.0,2015
Other meats,9,2014.0,-0.7,3.6,8.3,2015
Other meats,10,2014.0,0.2,4.6,9.2,2015
Other meats,11,2014.0,0.7,4.9,9.2,2015
Other meats,12,2014.0,1.2,5.2,9.4,2015
Other meats,1,2015.0,1.8,5.6,9.6,2015
Other meats,2,2015.0,2.4,5.7,9.1,2015
Other meats,3,2015.0,2.6,5.5,8.5,2015
Other meats,4,2015.0,2.6,5.1,7.6,2015
Other meats,5,2015.0,2.1,4.6,7.1,2015
Other meats,6,2015.0,1.6,3.6,5.8,2015
Other meats,7,2015.0,1.9,3.6,5.2,2015
Other meats,8,2015.0,2.4,3.5,4.7,2015
Other meats,9,2015.0,2.8,3.7,4.6,2015
Other meats,10,2015.0,3.3,3.9,4.6,2015
Other meats,11,2015.0,3.7,4.1,4.5,2015
Other meats,12,2015.0,3.9,4.1,4.3,2015
Poultry,7,2014.0,-1.4,3.1,7.9,2015
Poultry,8,2014.0,-1.2,3.3,8.0,2015
Poultry,9,2014.0,-1.2,3.2,7.8,2015
Poultry,10,2014.0,-1.1,3.2,7.5,2015
Poultry,11,2014.0,-1.8,2.1,6.3,2015
Poultry,12,2014.0,-1.4,2.3,6.2,2015
Poultry,1,2015.0,-1.5,2.1,5.8,2015
Poultry,2,2015.0,-0.6,2.5,5.8,2015
Poultry,3,2015.0,-0.3,2.5,5.3,2015
Poultry,4,2015.0,0.2,2.5,4.9,2015
Poultry,5,2015.0,0.3,2.3,4.3,2015
Poultry,6,2015.0,-0.7,0.9,2.6,2015
Poultry,7,2015.0,0.2,1.6,3.0,2015
Poultry,8,2015.0,0.3,1.3,2.4,2015
Poultry,9,2015.0,0.2,0.9,1.7,2015
Poultry,10,2015.0,0.0,0.5,1.1,2015
Poultry,11,2015.0,0.3,0.6,1.0,2015
Poultry,12,2015.0,0.3,0.5,0.7,2015
Fish and seafood,7,2014.0,0.3,4.1,8.1,2015
Fish and seafood,8,2014.0,0.7,4.1,7.7,2015
Fish and seafood,9,2014.0,0.5,4.0,7.4,2015
Fish and seafood,10,2014.0,0.9,4.2,7.6,2015
Fish and seafood,11,2014.0,0.2,3.3,6.6,2015
Fish and seafood,12,2014.0,0.3,3.3,6.5,2015
Fish and seafood,1,2015.0,-1.4,2.2,6.0,2015
Fish and seafood,2,2015.0,-1.1,2.1,5.4,2015
Fish and seafood,3,2015.0,-1.8,1.0,3.8,2015
Fish and seafood,4,2015.0,-1.7,0.7,3.2,2015
Fish and seafood,5,2015.0,-0.6,1.4,3.5,2015
Fish and seafood,6,2015.0,-1.1,0.6,2.4,2015
Fish and seafood,7,2015.0,-1.4,0.0,1.4,2015
Fish and seafood,8,2015.0,-1.4,-0.3,0.8,2015
Fish and seafood,9,2015.0,-0.9,-0.1,0.7,2015
Fish and seafood,10,2015.0,-1.0,-0.4,0.2,2015
Fish and seafood,11,2015.0,-1.2,-0.8,-0.5,2015
Fish and seafood,12,2015.0,-1.0,-0.8,-0.6,2015
Eggs,7,2014.0,-19.7,-0.3,24.1,2015
Eggs,8,2014.0,-19.5,-0.3,24.1,2015
Eggs,9,2014.0,-18.9,0.2,24.0,2015
Eggs,10,2014.0,-18.2,0.2,23.1,2015
Eggs,11,2014.0,-17.7,-0.1,21.3,2015
Eggs,12,2014.0,-14.3,2.3,22.9,2015
Eggs,1,2015.0,-7.7,9.2,30.2,2015
Eggs,2,2015.0,-8.9,5.6,23.1,2015
Eggs,3,2015.0,-6.2,6.5,21.7,2015
Eggs,4,2015.0,-5.0,5.9,18.9,2015
Eggs,5,2015.0,-5.2,3.8,14.3,2015
Eggs,6,2015.0,-4.6,2.8,11.5,2015
Eggs,7,2015.0,5.9,13.3,21.8,2015
Eggs,8,2015.0,9.1,15.0,21.9,2015
Eggs,9,2015.0,14.9,19.7,25.2,2015
Eggs,10,2015.0,16.6,20.0,23.8,2015
Eggs,11,2015.0,16.3,18.3,20.4,2015
Eggs,12,2015.0,16.9,17.8,18.8,2015
Dairy products,7,2014.0,-8.0,0.2,9.0,2015
Dairy products,8,2014.0,-7.3,0.7,9.2,2015
Dairy products,9,2014.0,-6.6,1.2,9.7,2015
Dairy products,10,2014.0,-5.8,1.6,9.5,2015
Dairy products,11,2014.0,-5.2,1.9,9.5,2015
Dairy products,12,2014.0,-5.3,1.3,8.4,2015
Dairy products,1,2015.0,-3.6,2.5,9.0,2015
Dairy products,2,2015.0,-4.8,0.6,6.1,2015
Dairy products,3,2015.0,-4.9,-0.4,4.5,2015
