cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2016.0,-4.7,-0.8,3.2,2017
All food,8,2016.0,-4.1,-0.5,3.2,2017
All food,9,2016.0,-3.5,-0.2,3.3,2017
All food,10,2016.0,-2.9,0.0,3.1,2017
All food,11,2016.0,-2.5,0.2,3.0,2017
All food,12,2016.0,-2.9,-0.6,1.9,2017
All food,1,2017.0,-2.8,-0.6,1.7,2017
All food,2,2017.0,-1.4,0.5,2.4,2017
All food,3,2017.0,-0.7,0.8,2.4,2017
All food,4,2017.0,-0.4,0.9,2.2,2017
All food,5,2017.0,0.0,1.1,2.1,2017
All food,6,2017.0,0.2,1.0,1.9,2017
All food,7,2017.0,0.1,0.7,1.4,2017
All food,8,2017.0,0.4,0.9,1.4,2017
All food,9,2017.0,0.5,0.8,1.2,2017
All food,10,2017.0,0.7,0.9,1.2,2017
All food,11,2017.0,0.8,0.9,1.1,2017
All food,12,2017.0,0.8,0.9,0.9,2017
Food away from home,7,2016.0,0.4,2.5,4.6,2017
Food away from home,8,2016.0,0.6,2.5,4.4,2017
Food away from home,9,2016.0,0.8,2.5,4.3,2017
Food away from home,10,2016.0,0.8,2.4,4.0,2017
Food away from home,11,2016.0,0.8,2.2,3.7,2017
Food away from home,12,2016.0,0.7,2.0,3.2,2017
Food away from home,1,2017.0,0.8,1.9,3.1,2017
Food away from home,2,2017.0,1.5,2.5,3.5,2017
Food away from home,3,2017.0,1.7,2.5,3.3,2017
Food away from home,4,2017.0,1.7,2.4,3.0,2017
Food away from home,5,2017.0,1.9,2.4,3.0,2017
Food away from home,6,2017.0,1.9,2.4,2.8,2017
Food away from home,7,2017.0,1.9,2.2,2.6,2017
Food away from home,8,2017.0,1.9,2.2,2.5,2017
Food away from home,9,2017.0,2.1,2.3,2.5,2017
Food away from home,10,2017.0,2.2,2.4,2.5,2017
Food away from home,11,2017.0,2.2,2.3,2.4,2017
Food away from home,12,2017.0,2.3,2.3,2.4,2017
Food at home,7,2016.0,-6.1,-1.6,3.0,2017
Food at home,8,2016.0,-5.6,-1.2,3.5,2017
Food at home,9,2016.0,-5.2,-1.0,3.4,2017
Food at home,10,2016.0,-4.5,-0.7,3.5,2017
Food at home,11,2016.0,-4.2,-0.5,3.3,2017
Food at home,12,2016.0,-5.7,-2.2,1.4,2017
Food at home,1,2017.0,-5.6,-2.3,1.1,2017
Food at home,2,2017.0,-3.7,-1.1,1.8,2017
Food at home,3,2017.0,-2.9,-0.5,1.9,2017
Food at home,4,2017.0,-2.1,-0.2,1.7,2017
Food at home,5,2017.0,-1.5,0.0,1.7,2017
Food at home,6,2017.0,-1.2,0.0,1.3,2017
Food at home,7,2017.0,-1.3,-0.3,0.6,2017
Food at home,8,2017.0,-0.8,-0.1,0.6,2017
Food at home,9,2017.0,-0.7,-0.2,0.3,2017
Food at home,10,2017.0,-0.5,-0.1,0.2,2017
Food at home,11,2017.0,-0.3,-0.1,0.1,2017
Food at home,12,2017.0,-0.3,-0.2,-0.1,2017
"Meats, poultry, and fish",7,2016.0,-2.5,2.4,7.6,2017
"Meats, poultry, and fish",8,2016.0,-3.1,1.7,6.8,2017
"Meats, poultry, and fish",9,2016.0,-2.6,2.0,6.9,2017
"Meats, poultry, and fish",10,2016.0,-2.8,1.7,6.4,2017
"Meats, poultry, and fish",11,2016.0,-3.7,0.5,4.8,2017
"Meats, poultry, and fish",12,2016.0,-4.1,-0.2,4.0,2017
"Meats, poultry, and fish",1,2017.0,-7.5,-3.4,1.0,2017
"Meats, poultry, and fish",2,2017.0,-6.3,-2.7,1.2,2017
