cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2007.0,1.4,2.8,4.2,2008
All food,8,2007.0,1.5,2.8,4.2,2008
All food,9,2007.0,1.6,2.9,4.3,2008
All food,10,2007.0,1.9,3.1,4.5,2008
All food,11,2007.0,2.1,3.3,4.6,2008
All food,12,2007.0,2.1,3.3,4.5,2008
All food,1,2008.0,2.3,3.3,4.4,2008
All food,2,2008.0,3.1,4.1,5.1,2008
All food,3,2008.0,3.3,4.1,5.0,2008
All food,4,2008.0,3.3,4.0,4.8,2008
All food,5,2008.0,4.0,4.8,5.5,2008
All food,6,2008.0,4.3,4.9,5.5,2008
All food,7,2008.0,4.6,5.1,5.6,2008
All food,8,2008.0,5.1,5.5,5.9,2008
All food,9,2008.0,5.3,5.6,5.9,2008
All food,10,2008.0,5.4,5.6,5.9,2008
All food,11,2008.0,5.5,5.6,5.8,2008
All food,12,2008.0,5.5,5.6,5.6,2008
Food away from home,7,2007.0,2.3,3.2,4.1,2008
Food away from home,8,2007.0,2.6,3.5,4.4,2008
Food away from home,9,2007.0,2.8,3.7,4.6,2008
Food away from home,10,2007.0,3.1,4.1,5.0,2008
Food away from home,11,2007.0,3.1,3.9,4.7,2008
Food away from home,12,2007.0,3.1,3.9,4.6,2008
Food away from home,1,2008.0,3.0,3.7,4.3,2008
Food away from home,2,2008.0,3.2,3.8,4.4,2008
Food away from home,3,2008.0,3.4,4.0,4.5,2008
Food away from home,4,2008.0,3.5,4.0,4.4,2008
Food away from home,5,2008.0,3.5,3.9,4.3,2008
Food away from home,6,2008.0,3.7,4.0,4.3,2008
Food away from home,7,2008.0,3.9,4.1,4.4,2008
Food away from home,8,2008.0,4.1,4.4,4.6,2008
Food away from home,9,2008.0,4.2,4.3,4.5,2008
Food away from home,10,2008.0,4.3,4.4,4.5,2008
Food away from home,11,2008.0,4.3,4.4,4.5,2008
Food away from home,12,2008.0,4.3,4.4,4.5,2008
Food at home,7,2007.0,0.6,2.7,4.9,2008
Food at home,8,2007.0,0.6,2.7,4.9,2008
Food at home,9,2007.0,0.8,2.8,4.9,2008
Food at home,10,2007.0,1.1,3.0,5.1,2008
Food at home,11,2007.0,1.4,3.4,5.3,2008
Food at home,12,2007.0,1.5,3.4,5.2,2008
Food at home,1,2008.0,1.7,3.4,5.0,2008
Food at home,2,2008.0,3.1,4.6,6.1,2008
