ppi_item,curr_month,curr_year,lower,mid,upper,pred_year
Farm-level cattle,7,2020.0,-22.0,-2.2,21.9,2021
Farm-level cattle,8,2020.0,-24.3,-5.9,17.4,2021
Farm-level cattle,9,2020.0,-21.0,-1.9,21.3,2021
Farm-level cattle,10,2020.0,-21.1,-3.2,19.4,2021
Farm-level cattle,11,2020.0,-19.4,-2.0,19.1,2021
Farm-level cattle,12,2020.0,-17.3,-0.4,19.8,2021
Farm-level cattle,1,2021.0,-17.4,-2.9,14.8,2021
Farm-level cattle,2,2021.0,-14.4,-0.9,15.0,2021
Farm-level cattle,3,2021.0,-8.6,4.0,18.4,2021
Farm-level cattle,4,2021.0,-7.5,3.0,15.8,2021
Farm-level cattle,5,2021.0,-0.5,9.3,20.8,2021
Farm-level cattle,6,2021.0,0.4,8.4,17.5,2021
Farm-level cattle,7,2021.0,3.9,10.7,18.4,2021
Farm-level cattle,8,2021.0,5.1,10.4,16.3,2021
Farm-level cattle,9,2021.0,6.6,10.5,14.8,2021
Farm-level cattle,10,2021.0,7.8,10.5,13.4,2021
Farm-level cattle,11,2021.0,8.6,10.2,11.9,2021
Farm-level cattle,12,2021.0,10.2,10.9,11.8,2021
Wholesale beef,7,2020.0,-19.5,2.7,32.0,2021
Wholesale beef,8,2020.0,-18.2,-1.8,17.4,2021
Wholesale beef,9,2020.0,-20.9,-4.7,15.2,2021
Wholesale beef,10,2020.0,-20.4,-4.3,15.3,2021
Wholesale beef,11,2020.0,-21.0,-5.4,13.5,2021
Wholesale beef,12,2020.0,-20.3,-5.1,12.7,2021
Wholesale beef,1,2021.0,-19.8,-5.2,12.3,2021
Wholesale beef,2,2021.0,-20.4,-7.6,7.2,2021
Wholesale beef,3,2021.0,-14.2,-2.4,11.3,2021
Wholesale beef,4,2021.0,-11.4,-0.8,11.5,2021
Wholesale beef,5,2021.0,-4.0,6.4,18.3,2021
Wholesale beef,6,2021.0,5.7,16.4,29.6,2021
Wholesale beef,7,2021.0,16.6,33.0,54.9,2021
Wholesale beef,8,2021.0,14.2,22.3,32.0,2021
Wholesale beef,9,2021.0,19.9,26.9,35.1,2021
Wholesale beef,10,2021.0,24.0,29.5,35.9,2021
Wholesale beef,11,2021.0,23.3,26.6,30.5,2021
Wholesale beef,12,2021.0,25.2,26.8,28.7,2021
Wholesale pork,7,2020.0,-22.4,-1.0,27.1,2021
Wholesale pork,8,2020.0,-25.3,-4.5,22.1,2021
Wholesale pork,9,2020.0,-23.9,-3.3,23.0,2021
Wholesale pork,10,2020.0,-22.1,-1.9,24.2,2021
Wholesale pork,11,2020.0,-17.5,3.1,28.4,2021
Wholesale pork,12,2020.0,-13.0,6.8,32.7,2021
Wholesale pork,1,2021.0,-15.8,0.9,22.3,2021
Wholesale pork,2,2021.0,-13.3,1.9,21.0,2021
Wholesale pork,3,2021.0,-10.1,3.5,20.0,2021
Wholesale pork,4,2021.0,-4.0,8.3,22.7,2021
Wholesale pork,5,2021.0,3.5,15.1,28.7,2021
Wholesale pork,6,2021.0,5.9,15.4,27.0,2021
Wholesale pork,7,2021.0,12.3,20.9,30.8,2021
Wholesale pork,8,2021.0,11.6,18.1,25.4,2021
Wholesale pork,9,2021.0,14.4,19.1,24.6,2021
Wholesale pork,10,2021.0,14.9,18.2,21.8,2021
Wholesale pork,11,2021.0,15.1,17.1,19.2,2021
Wholesale pork,12,2021.0,15.3,16.2,17.1,2021
Wholesale poultry,7,2020.0,-8.4,0.5,10.4,2021
Wholesale poultry,8,2020.0,-8.1,0.8,10.5,2021
Wholesale poultry,9,2020.0,-8.3,0.3,9.7,2021
Wholesale poultry,10,2020.0,-10.6,-2.2,7.0,2021
Wholesale poultry,11,2020.0,-9.4,-1.6,7.2,2021
Wholesale poultry,12,2020.0,-8.7,-1.2,7.0,2021
Wholesale poultry,1,2021.0,-6.5,0.6,8.2,2021
Wholesale poultry,2,2021.0,-3.1,3.3,10.4,2021
Wholesale poultry,3,2021.0,1.9,7.9,14.3,2021
Wholesale poultry,4,2021.0,5.3,10.6,16.5,2021
Wholesale poultry,5,2021.0,10.1,15.0,20.3,2021
Wholesale poultry,6,2021.0,12.9,17.9,23.2,2021
Wholesale poultry,7,2021.0,20.2,25.1,30.6,2021
Wholesale poultry,8,2021.0,16.4,19.2,22.3,2021
Wholesale poultry,9,2021.0,17.7,19.9,22.2,2021
Wholesale poultry,10,2021.0,19.5,21.1,22.7,2021
Wholesale poultry,11,2021.0,19.8,20.7,21.7,2021
Wholesale poultry,12,2021.0,19.7,20.1,20.6,2021
Farm-level eggs,7,2020.0,-25.8,14.5,76.8,2021
Farm-level eggs,8,2020.0,-22.8,15.9,77.9,2021
Farm-level eggs,9,2020.0,-21.4,20.2,82.3,2021
Farm-level eggs,10,2020.0,-21.4,18.2,78.9,2021
Farm-level eggs,11,2020.0,-22.1,17.2,76.1,2021
Farm-level eggs,12,2020.0,-21.4,16.8,75.8,2021
Farm-level eggs,1,2021.0,-28.1,7.3,61.0,2021
Farm-level eggs,2,2021.0,-27.0,6.1,57.8,2021
