ppi_item,curr_month,curr_year,lower,mid,upper,pred_year
Farm-level cattle,7,2021.0,-16.5,3.3,28.1,2022
Farm-level cattle,8,2021.0,-16.7,3.3,28.1,2022
Farm-level cattle,9,2021.0,-15.8,3.3,27.8,2022
Farm-level cattle,10,2021.0,-15.3,3.1,26.3,2022
Farm-level cattle,11,2021.0,-15.2,2.5,24.0,2022
Farm-level cattle,12,2021.0,-11.4,5.9,26.7,2022
Farm-level cattle,1,2022.0,-7.5,8.9,28.8,2022
Farm-level cattle,2,2022.0,-5.3,9.4,26.7,2022
Farm-level cattle,3,2022.0,2.5,16.3,32.7,2022
Farm-level cattle,4,2022.0,4.1,15.9,30.0,2022
Farm-level cattle,5,2022.0,6.4,16.4,28.2,2022
Farm-level cattle,6,2022.0,7.5,16.0,25.4,2022
Farm-level cattle,7,2022.0,11.6,18.4,26.3,2022
Farm-level cattle,8,2022.0,11.5,16.8,22.8,2022
Farm-level cattle,9,2022.0,13.9,18.0,22.6,2022
Farm-level cattle,10,2022.0,14.7,17.4,20.4,2022
Farm-level cattle,11,2022.0,15.6,17.2,19.1,2022
Farm-level cattle,12,2022.0,17.2,18.0,18.9,2022
Wholesale beef,7,2021.0,-26.3,12.2,71.2,2022
Wholesale beef,8,2021.0,-17.3,4.0,32.3,2022
Wholesale beef,9,2021.0,-15.4,8.0,37.6,2022
Wholesale beef,10,2021.0,-13.2,10.9,42.0,2022
Wholesale beef,11,2021.0,-15.2,6.5,34.5,2022
Wholesale beef,12,2021.0,-14.9,6.6,33.7,2022
Wholesale beef,1,2022.0,-17.8,2.3,26.9,2022
Wholesale beef,2,2022.0,-13.9,4.1,27.4,2022
Wholesale beef,3,2022.0,-13.6,1.1,19.4,2022
Wholesale beef,4,2022.0,-13.9,-1.0,15.0,2022
Wholesale beef,5,2022.0,-11.8,-0.9,12.9,2022
Wholesale beef,6,2022.0,-12.0,-2.6,9.1,2022
Wholesale beef,7,2022.0,-9.8,-1.8,7.9,2022
Wholesale beef,8,2022.0,-8.9,-2.4,5.5,2022
Wholesale beef,9,2022.0,-8.0,-3.0,2.7,2022
Wholesale beef,10,2022.0,-7.8,-4.3,-0.1,2022
Wholesale beef,11,2022.0,-7.7,-5.5,-2.8,2022
Wholesale beef,12,2022.0,-6.5,-5.4,-4.1,2022
Wholesale pork,7,2021.0,-16.7,6.6,35.0,2022
Wholesale pork,8,2021.0,-18.1,4.0,33.1,2022
Wholesale pork,9,2021.0,-16.7,5.3,33.6,2022
Wholesale pork,10,2021.0,-17.2,4.0,30.7,2022
Wholesale pork,11,2021.0,-18.4,1.1,25.8,2022
Wholesale pork,12,2021.0,-20.6,-2.7,19.4,2022
Wholesale pork,1,2022.0,-19.1,-7.8,5.0,2022
Wholesale pork,2,2022.0,-19.7,-9.6,1.7,2022
Wholesale pork,3,2022.0,-17.2,-8.2,2.2,2022
Wholesale pork,4,2022.0,-14.4,-6.2,3.4,2022
Wholesale pork,5,2022.0,-11.5,-4.2,4.2,2022
Wholesale pork,6,2022.0,-11.1,-4.8,2.3,2022
