DATE,CPIUFDNS_PC1
1935-05-01,9.56522
1935-06-01,7.75862
1935-07-01,6.03448
1935-08-01,5.12821
1935-09-01,3.30579
1935-10-01,4.20168
1935-11-01,6.77966
1935-12-01,7.62712
1936-01-01,3.27869
1936-02-01,0.00000
1936-03-01,-1.61290
1936-04-01,-3.17460
1936-05-01,-3.17460
1936-06-01,0.80000
1936-07-01,3.25203
1936-08-01,4.87805
1936-09-01,4.00000
1936-10-01,3.22581
1936-11-01,0.00000
1936-12-01,-0.78740
1937-01-01,1.58730
1937-02-01,4.03226
1937-03-01,7.37705
1937-04-01,7.37705
1937-05-01,8.19672
1937-06-01,4.76190
1937-07-01,3.93701
1937-08-01,3.10078
1937-09-01,3.07692
1937-10-01,3.12500
1937-11-01,2.38095
1937-12-01,0.79365
1938-01-01,-3.12500
1938-02-01,-6.20155
1938-03-01,-7.63359
1938-04-01,-6.87023
1938-05-01,-8.33333
1938-06-01,-7.57576
1938-07-01,-7.57576
1938-08-01,-9.02256
1938-09-01,-8.95522
1938-10-01,-8.33333
1938-11-01,-7.75194
1938-12-01,-4.72441
1939-01-01,-4.03226
1939-02-01,-2.47934
1939-03-01,-2.47934
1939-04-01,-4.09836
1939-05-01,-3.30579
1939-06-01,-4.91803
1939-07-01,-4.09836
1939-08-01,-4.13223
1939-09-01,0.00000
1939-10-01,0.00000
1939-11-01,0.84034
1939-12-01,-2.47934
1940-01-01,-0.84034
1940-02-01,1.69492
1940-03-01,0.84746
1940-04-01,1.70940
1940-05-01,2.56410
1940-06-01,5.17241
1940-07-01,3.41880
1940-08-01,2.58621
1940-09-01,-0.81967
1940-10-01,-1.65289
1940-11-01,-0.83333
1940-12-01,2.54237
1941-01-01,2.54237
1941-02-01,1.66667
1941-03-01,2.52101
1941-04-01,5.04202
1941-05-01,5.83333
1941-06-01,7.37705
1941-07-01,9.09091
1941-08-01,12.60504
1941-09-01,13.22314
1941-10-01,15.96639
1941-11-01,17.64706
1941-12-01,15.70248
1942-01-01,19.00826
1942-02-01,18.85246
1942-03-01,20.49180
1942-04-01,19.20000
1942-05-01,18.89764
1942-06-01,16.79389
1942-07-01,17.42424
1942-08-01,16.41791
1942-09-01,14.59854
1942-10-01,16.66667
1942-11-01,16.42857
1942-12-01,17.85714
1943-01-01,14.58333
1943-02-01,14.48276
1943-03-01,15.64626
1943-04-01,16.77852
1943-05-01,17.88079
1943-06-01,15.03268
1943-07-01,10.96774
1943-08-01,8.97436
1943-09-01,8.28025
1943-10-01,6.21118
1943-11-01,4.29448
1943-12-01,3.03030
1944-01-01,2.42424
1944-02-01,0.60241
1944-03-01,-1.76471
1944-04-01,-4.02299
1944-05-01,-5.61798
1944-06-01,-4.54545
1944-07-01,-1.16279
1944-08-01,0.58824
1944-09-01,0.00000
1944-10-01,-1.16959
1944-11-01,-0.58824
1944-12-01,0.00000
1945-01-01,0.59172
1945-02-01,1.19760
1945-03-01,1.19760
1945-04-01,1.19760
1945-05-01,2.38095
1945-06-01,4.16667
1945-07-01,3.52941
1945-08-01,2.33918
1945-09-01,1.76471
1945-10-01,2.36686
1945-11-01,2.95858
1945-12-01,3.52941
1946-01-01,2.94118
1946-02-01,2.36686
1946-03-01,2.95858
1946-04-01,4.14201
1946-05-01,2.90698
1946-06-01,3.42857
1946-07-01,17.04545
1946-08-01,21.71429
1946-09-01,24.85549
1946-10-01,28.90173
1946-11-01,33.90805
1946-12-01,31.25000
1947-01-01,30.28571
1947-02-01,30.63584
1947-03-01,35.05747
1947-04-01,32.38636
1947-05-01,31.63842
1947-06-01,30.93923
1947-07-01,16.50485
1947-08-01,14.55399
1947-09-01,16.66667
1947-10-01,12.10762
1947-11-01,8.15451
1947-12-01,11.25541
1948-01-01,14.03509
1948-02-01,12.38938
1948-03-01,6.80851
1948-04-01,10.72961
1948-05-01,12.44635
1948-06-01,12.23629
1948-07-01,12.08333
1948-08-01,10.24590
1948-09-01,5.95238
1948-10-01,4.80000
1948-11-01,1.98413
1948-12-01,-0.77821
1949-01-01,-2.30769
1949-02-01,-2.36220
1949-03-01,-0.39841
1949-04-01,-2.32558
1949-05-01,-4.19847
1949-06-01,-4.51128
1949-07-01,-7.06320
1949-08-01,-6.31970
1949-09-01,-4.86891
1949-10-01,-4.96183
1949-11-01,-3.11284
1949-12-01,-3.92157
1950-01-01,-4.33071
1950-02-01,-2.41935
1950-03-01,-2.40000
1950-04-01,-2.77778
1950-05-01,-1.19522
1950-06-01,-0.78740
1950-07-01,3.60000
1950-08-01,3.57143
1950-09-01,2.75591
1950-10-01,4.81928
1950-11-01,5.22088
1950-12-01,9.79592
1951-01-01,13.16872
1951-02-01,15.70248
1951-03-01,15.16393
1951-04-01,14.28571
1951-05-01,13.70968
1951-06-01,11.90476
1951-07-01,9.26641
1951-08-01,8.04598
1951-09-01,8.04598
1951-10-01,9.19540
1951-11-01,9.54198
1951-12-01,7.06320
1952-01-01,4.72727
1952-02-01,0.71429
1952-03-01,0.71174
1952-04-01,2.14286
1952-05-01,1.77305
1952-06-01,1.77305
1952-07-01,3.18021
1952-08-01,3.54610
1952-09-01,2.48227
1952-10-01,1.05263
1952-11-01,0.34843
1952-12-01,-1.04167
1953-01-01,-1.38889
1953-02-01,-1.06383
1953-03-01,-1.06007
1953-04-01,-2.44755
1953-05-01,-2.09059
1953-06-01,-0.69686
1953-07-01,-2.39726
1953-08-01,-2.05479
1953-09-01,-1.38408
1953-10-01,-1.04167
1953-11-01,-2.43056
1953-12-01,-1.05263
1954-01-01,0.00000
1954-02-01,1.07527
1954-03-01,0.35714
1954-04-01,1.07527
1954-05-01,1.06762
1954-06-01,0.00000
1954-07-01,0.70175
1954-08-01,0.00000
1954-09-01,-1.05263
1954-10-01,-1.75439
1954-11-01,-0.71174
1954-12-01,-1.77305
1955-01-01,-2.46479
1955-02-01,-1.41844
1955-03-01,-1.06762
1955-04-01,-1.06383
1955-05-01,-1.76056
1955-06-01,-2.10526
1955-07-01,-2.09059
1955-08-01,-2.44755
1955-09-01,-0.70922
1955-10-01,-0.71429
1955-11-01,-1.43369
1955-12-01,-0.72202
1956-01-01,-1.08303
