cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2010.0,-0.2,2.0,4.4,2011
All food,8,2010.0,-0.4,1.8,4.0,2011
All food,9,2010.0,-0.2,1.9,4.0,2011
All food,10,2010.0,0.2,2.2,4.2,2011
All food,11,2010.0,0.3,2.2,4.1,2011
All food,12,2010.0,0.2,1.9,3.6,2011
All food,1,2011.0,0.2,1.8,3.4,2011
All food,2,2011.0,1.6,3.1,4.5,2011
All food,3,2011.0,2.0,3.2,4.5,2011
All food,4,2011.0,2.6,3.7,4.8,2011
All food,5,2011.0,2.8,3.7,4.6,2011
All food,6,2011.0,3.0,3.7,4.4,2011
All food,7,2011.0,3.0,3.6,4.1,2011
All food,8,2011.0,3.2,3.7,4.1,2011
All food,9,2011.0,3.5,3.8,4.1,2011
All food,10,2011.0,3.6,3.9,4.1,2011
All food,11,2011.0,3.7,3.8,4.0,2011
All food,12,2011.0,3.6,3.7,3.8,2011
Food away from home,7,2010.0,0.6,2.0,3.4,2011
Food away from home,8,2010.0,0.2,1.5,2.9,2011
Food away from home,9,2010.0,0.8,2.1,3.3,2011
Food away from home,10,2010.0,1.2,2.4,3.6,2011
Food away from home,11,2010.0,1.1,2.1,3.2,2011
Food away from home,12,2010.0,1.0,2.0,3.0,2011
Food away from home,1,2011.0,0.9,1.8,2.7,2011
Food away from home,2,2011.0,1.2,1.9,2.7,2011
Food away from home,3,2011.0,1.3,2.0,2.6,2011
Food away from home,4,2011.0,1.6,2.1,2.7,2011
Food away from home,5,2011.0,1.9,2.3,2.8,2011
Food away from home,6,2011.0,1.9,2.3,2.6,2011
Food away from home,7,2011.0,2.0,2.3,2.6,2011
Food away from home,8,2011.0,2.0,2.3,2.5,2011
Food away from home,9,2011.0,2.2,2.4,2.6,2011
Food away from home,10,2011.0,2.2,2.4,2.5,2011
Food away from home,11,2011.0,2.2,2.3,2.4,2011
Food away from home,12,2011.0,2.3,2.3,2.4,2011
Food at home,7,2010.0,-0.2,2.1,4.4,2011
Food at home,8,2010.0,-0.6,1.9,4.5,2011
Food at home,9,2010.0,-0.6,1.8,4.4,2011
Food at home,10,2010.0,-0.4,2.0,4.4,2011
Food at home,11,2010.0,-0.2,2.0,4.4,2011
Food at home,12,2010.0,-0.4,1.7,4.0,2011
Food at home,1,2011.0,0.1,1.8,3.5,2011
Food at home,2,2011.0,1.4,3.1,4.7,2011
Food at home,3,2011.0,2.0,3.4,4.9,2011
Food at home,4,2011.0,2.8,4.3,5.8,2011
Food at home,5,2011.0,3.1,4.3,5.5,2011
Food at home,6,2011.0,3.4,4.5,5.5,2011
Food at home,7,2011.0,3.6,4.4,5.2,2011
Food at home,8,2011.0,4.0,4.6,5.3,2011
Food at home,9,2011.0,4.3,4.8,5.3,2011
Food at home,10,2011.0,4.6,4.9,5.3,2011
Food at home,11,2011.0,4.7,4.9,5.1,2011
Food at home,12,2011.0,4.7,4.8,4.9,2011
"Meats, poultry, and fish",7,2010.0,-0.7,4.0,9.0,2011
"Meats, poultry, and fish",8,2010.0,-0.6,3.9,8.8,2011
"Meats, poultry, and fish",9,2010.0,-1.1,3.3,7.9,2011
"Meats, poultry, and fish",10,2010.0,-0.2,4.2,8.7,2011
"Meats, poultry, and fish",11,2010.0,0.8,5.0,9.2,2011
"Meats, poultry, and fish",12,2010.0,0.2,4.0,7.9,2011
"Meats, poultry, and fish",1,2011.0,-0.6,2.9,6.5,2011
"Meats, poultry, and fish",2,2011.0,1.8,4.9,8.0,2011
"Meats, poultry, and fish",3,2011.0,2.9,5.5,8.3,2011
"Meats, poultry, and fish",4,2011.0,4.2,6.5,9.0,2011
"Meats, poultry, and fish",5,2011.0,4.9,6.8,8.9,2011
"Meats, poultry, and fish",6,2011.0,6.0,7.7,9.4,2011
"Meats, poultry, and fish",7,2011.0,5.8,7.1,8.5,2011
"Meats, poultry, and fish",8,2011.0,6.4,7.4,8.4,2011
"Meats, poultry, and fish",9,2011.0,6.6,7.4,8.1,2011
"Meats, poultry, and fish",10,2011.0,6.9,7.4,7.9,2011
"Meats, poultry, and fish",11,2011.0,7.1,7.4,7.7,2011
"Meats, poultry, and fish",12,2011.0,7.2,7.3,7.5,2011
Meats,7,2010.0,-1.4,4.8,11.4,2011
Meats,8,2010.0,-1.4,4.5,10.8,2011
Meats,9,2010.0,-1.6,4.2,10.3,2011
Meats,10,2010.0,-0.6,4.9,10.9,2011
Meats,11,2010.0,0.6,5.9,11.5,2011
Meats,12,2010.0,-0.5,4.4,9.6,2011
Meats,1,2011.0,-1.4,3.1,7.8,2011
Meats,2,2011.0,2.2,6.1,10.3,2011
Meats,3,2011.0,3.3,6.8,10.4,2011
Meats,4,2011.0,5.4,8.5,11.7,2011
Meats,5,2011.0,5.9,8.5,11.2,2011
Meats,6,2011.0,7.0,9.2,11.4,2011
Meats,7,2011.0,6.6,8.3,10.0,2011
Meats,8,2011.0,7.5,8.8,10.1,2011
Meats,9,2011.0,8.0,9.0,9.9,2011
Meats,10,2011.0,8.3,8.9,9.5,2011
Meats,11,2011.0,8.5,8.9,9.3,2011
Meats,12,2011.0,8.6,8.8,9.0,2011
Beef and veal,7,2010.0,-2.9,5.8,15.2,2011
Beef and veal,8,2010.0,-3.2,5.0,14.2,2011
Beef and veal,9,2010.0,-3.8,4.2,13.1,2011
Beef and veal,10,2010.0,-3.2,4.6,13.2,2011
Beef and veal,11,2010.0,-1.9,5.4,13.6,2011
Beef and veal,12,2010.0,-1.9,4.9,12.3,2011
Beef and veal,1,2011.0,-2.7,3.8,10.9,2011
Beef and veal,2,2011.0,1.4,7.3,13.6,2011
Beef and veal,3,2011.0,3.4,8.6,14.2,2011
Beef and veal,4,2011.0,5.9,10.6,15.4,2011
Beef and veal,5,2011.0,6.8,10.6,14.8,2011
Beef and veal,6,2011.0,7.8,11.0,14.5,2011
Beef and veal,7,2011.0,7.2,9.7,12.4,2011
Beef and veal,8,2011.0,8.4,10.4,12.4,2011
Beef and veal,9,2011.0,8.9,10.3,11.7,2011
Beef and veal,10,2011.0,9.1,10.1,11.0,2011
Beef and veal,11,2011.0,9.6,10.2,10.7,2011
Beef and veal,12,2011.0,9.9,10.1,10.4,2011
Pork,7,2010.0,-5.6,2.4,11.1,2011
Pork,8,2010.0,-4.9,3.1,11.7,2011
Pork,9,2010.0,-4.5,3.2,11.5,2011
Pork,10,2010.0,-2.9,4.7,12.8,2011
Pork,11,2010.0,-1.8,5.4,13.5,2011
Pork,12,2010.0,-3.8,2.6,10.0,2011
Pork,1,2011.0,-5.3,0.7,7.1,2011
Pork,2,2011.0,-2.0,3.4,9.1,2011
Pork,3,2011.0,-0.7,4.1,9.1,2011
Pork,4,2011.0,2.2,6.4,11.0,2011
Pork,5,2011.0,2.0,5.5,9.3,2011
Pork,6,2011.0,4.8,7.9,11.1,2011
Pork,7,2011.0,5.4,7.8,10.4,2011
Pork,8,2011.0,6.2,8.1,10.0,2011
Pork,9,2011.0,7.0,8.4,9.8,2011
Pork,10,2011.0,8.0,9.0,10.0,2011
Pork,11,2011.0,8.2,8.7,9.3,2011
Pork,12,2011.0,8.3,8.5,8.8,2011
Other meats,7,2010.0,-2.6,2.2,6.9,2011
Other meats,8,2010.0,-2.1,2.2,6.8,2011
Other meats,9,2010.0,-1.7,2.6,7.1,2011
Other meats,10,2010.0,-1.4,2.8,7.2,2011
Other meats,11,2010.0,-0.5,3.5,7.8,2011
Other meats,12,2010.0,0.4,4.3,8.4,2011
Other meats,1,2011.0,0.8,4.5,8.5,2011
Other meats,2,2011.0,1.2,4.6,8.1,2011
Other meats,3,2011.0,1.6,4.6,7.7,2011
Other meats,4,2011.0,2.2,4.7,7.4,2011
Other meats,5,2011.0,3.8,6.1,8.4,2011
Other meats,6,2011.0,4.0,5.9,7.8,2011
Other meats,7,2011.0,4.0,5.5,7.1,2011
Other meats,8,2011.0,4.7,5.9,7.1,2011
Other meats,9,2011.0,5.4,6.3,7.2,2011
Other meats,10,2011.0,5.4,6.1,6.8,2011
Other meats,11,2011.0,5.8,6.3,6.7,2011
Other meats,12,2011.0,6.1,6.4,6.6,2011
Poultry,7,2010.0,-2.9,2.4,7.8,2011
Poultry,8,2010.0,-2.3,2.8,8.0,2011
Poultry,9,2010.0,-2.9,2.0,7.2,2011
Poultry,10,2010.0,-2.4,2.4,7.4,2011
Poultry,11,2010.0,-1.0,3.6,8.4,2011
Poultry,12,2010.0,-1.5,2.6,7.1,2011
Poultry,1,2011.0,-4.0,0.0,4.0,2011
Poultry,2,2011.0,-2.1,1.1,4.5,2011
Poultry,3,2011.0,-0.9,1.9,4.9,2011
Poultry,4,2011.0,-0.6,1.9,4.5,2011
Poultry,5,2011.0,0.2,2.3,4.4,2011
Poultry,6,2011.0,1.0,2.8,4.6,2011
Poultry,7,2011.0,1.5,2.9,4.3,2011
Poultry,8,2011.0,1.7,2.8,3.9,2011
Poultry,9,2011.0,1.8,2.6,3.4,2011
Poultry,10,2011.0,2.2,2.8,3.3,2011
Poultry,11,2011.0,2.7,3.0,3.3,2011
Poultry,12,2011.0,2.7,2.9,3.1,2011
Fish and seafood,7,2010.0,-0.4,2.8,6.2,2011
Fish and seafood,8,2010.0,-0.5,3.1,6.6,2011
Fish and seafood,9,2010.0,-0.8,2.7,6.1,2011
Fish and seafood,10,2010.0,-0.6,2.7,6.1,2011
Fish and seafood,11,2010.0,-0.4,2.8,6.1,2011
Fish and seafood,12,2010.0,0.6,3.7,6.7,2011
Fish and seafood,1,2011.0,0.9,3.6,6.4,2011
Fish and seafood,2,2011.0,1.8,4.4,6.9,2011
Fish and seafood,3,2011.0,2.5,4.7,6.9,2011
Fish and seafood,4,2011.0,3.3,5.2,7.1,2011
Fish and seafood,5,2011.0,4.0,5.6,7.3,2011
Fish and seafood,6,2011.0,5.8,7.4,9.0,2011
Fish and seafood,7,2011.0,6.5,7.8,9.2,2011
Fish and seafood,8,2011.0,6.7,7.8,8.9,2011
Fish and seafood,9,2011.0,6.3,7.3,8.2,2011
Fish and seafood,10,2011.0,6.6,7.3,7.9,2011
Fish and seafood,11,2011.0,6.6,7.0,7.4,2011
Fish and seafood,12,2011.0,6.9,7.1,7.3,2011
Eggs,7,2010.0,-23.4,-3.5,20.9,2011
Eggs,8,2010.0,-23.4,-4.4,20.4,2011
Eggs,9,2010.0,-21.8,-2.2,22.1,2011
Eggs,10,2010.0,-15.9,3.9,28.9,2011
Eggs,11,2010.0,-21.8,-3.8,18.4,2011
Eggs,12,2010.0,-16.1,2.8,27.1,2011
Eggs,1,2011.0,-8.4,6.8,25.0,2011
Eggs,2,2011.0,-7.2,8.4,28.3,2011
Eggs,3,2011.0,-7.4,6.3,23.3,2011
Eggs,4,2011.0,-5.5,6.3,20.4,2011
Eggs,5,2011.0,-3.3,6.8,19.0,2011
Eggs,6,2011.0,-2.9,5.4,14.9,2011
Eggs,7,2011.0,-1.9,4.6,12.2,2011
Eggs,8,2011.0,-0.3,4.9,10.7,2011
Eggs,9,2011.0,2.9,7.0,11.6,2011
Eggs,10,2011.0,6.2,9.2,12.5,2011
Eggs,11,2011.0,7.4,9.2,11.1,2011
Eggs,12,2011.0,8.2,9.0,9.9,2011
Dairy products,7,2010.0,-7.7,-0.1,8.1,2011
Dairy products,8,2010.0,-7.0,0.4,8.3,2011
Dairy products,9,2010.0,-7.2,0.0,7.8,2011
Dairy products,10,2010.0,-6.5,0.3,7.7,2011
Dairy products,11,2010.0,-5.3,1.4,8.6,2011
Dairy products,12,2010.0,-5.2,0.8,7.5,2011
Dairy products,1,2011.0,-4.1,1.6,7.7,2011
Dairy products,2,2011.0,-3.4,1.6,6.9,2011
Dairy products,3,2011.0,-1.9,2.3,7.0,2011
Dairy products,4,2011.0,-0.4,3.5,7.6,2011
Dairy products,5,2011.0,1.6,4.9,8.5,2011
Dairy products,6,2011.0,2.4,5.2,8.1,2011
Dairy products,7,2011.0,3.1,5.4,7.8,2011
Dairy products,8,2011.0,4.4,6.2,8.0,2011
Dairy products,9,2011.0,5.2,6.5,7.8,2011
Dairy products,10,2011.0,6.0,6.9,7.9,2011
Dairy products,11,2011.0,6.3,6.8,7.4,2011
Dairy products,12,2011.0,6.6,6.8,7.0,2011
Fats and oils,7,2010.0,-4.1,2.6,9.6,2011
Fats and oils,8,2010.0,-3.9,2.8,9.7,2011
Fats and oils,9,2010.0,-3.4,3.0,9.9,2011
Fats and oils,10,2010.0,-3.3,2.9,9.5,2011
Fats and oils,11,2010.0,-2.5,3.4,9.6,2011
Fats and oils,12,2010.0,-2.9,2.6,8.5,2011
Fats and oils,1,2011.0,-4.9,0.0,5.1,2011
Fats and oils,2,2011.0,0.4,4.9,9.7,2011
Fats and oils,3,2011.0,1.9,6.0,10.3,2011
Fats and oils,4,2011.0,3.8,7.4,11.1,2011
Fats and oils,5,2011.0,4.0,7.0,10.0,2011
Fats and oils,6,2011.0,5.2,7.7,10.4,2011
Fats and oils,7,2011.0,6.2,8.3,10.4,2011
Fats and oils,8,2011.0,7.1,8.8,10.4,2011
Fats and oils,9,2011.0,7.9,9.1,10.4,2011
Fats and oils,10,2011.0,8.4,9.2,10.1,2011
Fats and oils,11,2011.0,8.8,9.3,9.9,2011
Fats and oils,12,2011.0,8.9,9.2,9.4,2011
Fruits and vegetables,7,2010.0,-9.7,-1.0,8.5,2011
Fruits and vegetables,8,2010.0,-1.7,2.6,7.0,2011
Fruits and vegetables,9,2010.0,-1.8,2.5,6.9,2011
Fruits and vegetables,10,2010.0,-1.8,2.4,6.9,2011
Fruits and vegetables,11,2010.0,-2.1,2.2,6.6,2011
Fruits and vegetables,12,2010.0,-2.4,1.8,6.3,2011
Fruits and vegetables,1,2011.0,-1.9,2.4,6.9,2011
Fruits and vegetables,2,2011.0,0.2,4.1,8.1,2011
Fruits and vegetables,3,2011.0,0.7,4.2,7.6,2011
Fruits and vegetables,4,2011.0,2.1,5.2,8.4,2011
Fruits and vegetables,5,2011.0,1.8,4.6,7.5,2011
Fruits and vegetables,6,2011.0,2.2,4.6,7.1,2011
Fruits and vegetables,7,2011.0,2.1,4.2,6.3,2011
Fruits and vegetables,8,2011.0,2.6,4.3,6.1,2011
Fruits and vegetables,9,2011.0,2.9,4.2,5.6,2011
Fruits and vegetables,10,2011.0,3.6,4.6,5.6,2011
Fruits and vegetables,11,2011.0,3.6,4.2,4.8,2011
Fruits and vegetables,12,2011.0,3.8,4.1,4.4,2011
Fresh fruits and vegetables,7,2010.0,-2.5,2.7,7.9,2011
Fresh fruits and vegetables,8,2010.0,-2.9,2.3,7.8,2011
Fresh fruits and vegetables,9,2010.0,-7.7,-1.1,6.2,2011
Fresh fruits and vegetables,10,2010.0,-3.0,2.3,7.8,2011
Fresh fruits and vegetables,11,2010.0,-3.3,2.1,7.7,2011
Fresh fruits and vegetables,12,2010.0,-3.3,2.0,7.5,2011
Fresh fruits and vegetables,1,2011.0,-5.1,1.1,8.0,2011
Fresh fruits and vegetables,2,2011.0,-0.4,4.4,9.5,2011
Fresh fruits and vegetables,3,2011.0,0.4,4.6,9.1,2011
Fresh fruits and vegetables,4,2011.0,1.9,5.9,10.1,2011
Fresh fruits and vegetables,5,2011.0,1.9,5.3,9.0,2011
Fresh fruits and vegetables,6,2011.0,2.2,5.2,8.4,2011
Fresh fruits and vegetables,7,2011.0,2.1,4.7,7.4,2011
Fresh fruits and vegetables,8,2011.0,2.7,4.9,7.2,2011
Fresh fruits and vegetables,9,2011.0,3.1,4.8,6.6,2011
Fresh fruits and vegetables,10,2011.0,3.9,5.1,6.4,2011
Fresh fruits and vegetables,11,2011.0,3.8,4.5,5.3,2011
Fresh fruits and vegetables,12,2011.0,4.1,4.5,4.8,2011
Fresh fruits,7,2010.0,-7.6,-0.5,7.2,2011
Fresh fruits,8,2010.0,-8.6,-1.3,6.3,2011
Fresh fruits,9,2010.0,-8.3,-1.3,6.3,2011
Fresh fruits,10,2010.0,-8.0,-1.2,6.3,2011
Fresh fruits,11,2010.0,-7.8,-1.1,6.3,2011
Fresh fruits,12,2010.0,-6.6,-0.2,6.8,2011
Fresh fruits,1,2011.0,-4.1,1.8,8.0,2011
Fresh fruits,2,2011.0,-2.2,3.3,9.1,2011
Fresh fruits,3,2011.0,-3.1,1.7,6.8,2011
Fresh fruits,4,2011.0,-2.2,2.0,6.5,2011
Fresh fruits,5,2011.0,-1.1,2.7,6.7,2011
Fresh fruits,6,2011.0,-0.5,2.7,6.0,2011
Fresh fruits,7,2011.0,-0.7,2.0,4.8,2011
Fresh fruits,8,2011.0,0.8,3.0,5.4,2011
Fresh fruits,9,2011.0,1.3,3.1,5.0,2011
Fresh fruits,10,2011.0,2.3,3.6,5.0,2011
Fresh fruits,11,2011.0,2.4,3.3,4.2,2011
Fresh fruits,12,2011.0,2.9,3.3,3.7,2011
Fresh vegetables,7,2010.0,-16.8,-1.7,16.1,2011
Fresh vegetables,8,2010.0,-9.6,-0.9,8.5,2011
Fresh vegetables,9,2010.0,-9.8,-1.0,8.7,2011
Fresh vegetables,10,2010.0,-15.7,-1.9,14.5,2011
Fresh vegetables,11,2010.0,-14.5,-1.4,14.5,2011
Fresh vegetables,12,2010.0,-4.6,2.0,9.1,2011
Fresh vegetables,1,2011.0,-1.1,4.5,10.3,2011
Fresh vegetables,2,2011.0,0.4,5.6,11.1,2011
Fresh vegetables,3,2011.0,2.6,7.4,12.6,2011
Fresh vegetables,4,2011.0,4.8,9.2,13.9,2011
Fresh vegetables,5,2011.0,3.5,7.6,11.9,2011
Fresh vegetables,6,2011.0,3.6,7.2,11.0,2011
Fresh vegetables,7,2011.0,3.9,7.1,10.7,2011
Fresh vegetables,8,2011.0,3.9,6.6,9.6,2011
Fresh vegetables,9,2011.0,4.3,6.5,8.9,2011
Fresh vegetables,10,2011.0,4.9,6.5,8.3,2011
Fresh vegetables,11,2011.0,4.8,5.8,6.9,2011
Fresh vegetables,12,2011.0,5.2,5.7,6.2,2011
Processed fruits and vegetables,7,2010.0,-2.6,3.1,9.1,2011
Processed fruits and vegetables,8,2010.0,-3.0,2.5,8.4,2011
Processed fruits and vegetables,9,2010.0,-2.8,2.7,8.5,2011
Processed fruits and vegetables,10,2010.0,-2.8,2.3,7.9,2011
Processed fruits and vegetables,11,2010.0,-3.8,1.3,6.6,2011
Processed fruits and vegetables,12,2010.0,-6.0,-1.3,3.6,2011
Processed fruits and vegetables,1,2011.0,-4.6,-0.3,4.4,2011
Processed fruits and vegetables,2,2011.0,-2.1,2.0,6.3,2011
Processed fruits and vegetables,3,2011.0,-1.6,1.9,5.6,2011
Processed fruits and vegetables,4,2011.0,-1.0,2.0,5.2,2011
Processed fruits and vegetables,5,2011.0,-1.2,1.3,3.9,2011
Processed fruits and vegetables,6,2011.0,0.1,2.2,4.5,2011
Processed fruits and vegetables,7,2011.0,0.7,2.5,4.3,2011
Processed fruits and vegetables,8,2011.0,1.5,2.9,4.4,2011
Processed fruits and vegetables,9,2011.0,1.6,2.6,3.7,2011
Processed fruits and vegetables,10,2011.0,2.3,3.0,3.7,2011
Processed fruits and vegetables,11,2011.0,2.7,3.1,3.6,2011
Processed fruits and vegetables,12,2011.0,2.7,2.9,3.1,2011
Sugar and sweets,7,2010.0,-0.2,3.1,6.3,2011
Sugar and sweets,8,2010.0,-0.1,3.1,6.4,2011
Sugar and sweets,9,2010.0,-0.6,2.5,5.6,2011
Sugar and sweets,10,2010.0,0.1,3.0,5.9,2011
Sugar and sweets,11,2010.0,0.3,3.0,5.9,2011
Sugar and sweets,12,2010.0,-0.7,1.6,3.9,2011
Sugar and sweets,1,2011.0,-0.1,2.0,4.3,2011
Sugar and sweets,2,2011.0,0.0,1.9,3.8,2011
Sugar and sweets,3,2011.0,0.6,2.2,3.9,2011
Sugar and sweets,4,2011.0,1.2,2.6,4.1,2011
Sugar and sweets,5,2011.0,0.9,2.1,3.4,2011
Sugar and sweets,6,2011.0,1.2,2.2,3.3,2011
Sugar and sweets,7,2011.0,1.9,2.8,3.7,2011
Sugar and sweets,8,2011.0,2.0,2.7,3.4,2011
Sugar and sweets,9,2011.0,2.5,3.1,3.7,2011
Sugar and sweets,10,2011.0,3.1,3.5,3.9,2011
Sugar and sweets,11,2011.0,3.3,3.6,3.9,2011
Sugar and sweets,12,2011.0,3.1,3.3,3.5,2011
Cereals and bakery products,7,2010.0,-2.7,1.8,6.4,2011
Cereals and bakery products,8,2010.0,-2.9,1.5,6.1,2011
Cereals and bakery products,9,2010.0,-5.8,-0.8,4.4,2011
Cereals and bakery products,10,2010.0,-2.6,1.3,5.4,2011
Cereals and bakery products,11,2010.0,-2.5,1.1,4.9,2011
Cereals and bakery products,12,2010.0,-2.4,1.0,4.4,2011
Cereals and bakery products,1,2011.0,-3.2,0.3,4.0,2011
Cereals and bakery products,2,2011.0,0.2,3.0,5.8,2011
Cereals and bakery products,3,2011.0,0.8,3.2,5.6,2011
Cereals and bakery products,4,2011.0,1.3,3.2,5.2,2011
Cereals and bakery products,5,2011.0,1.2,2.9,4.5,2011
Cereals and bakery products,6,2011.0,2.3,3.5,4.8,2011
Cereals and bakery products,7,2011.0,2.8,3.7,4.7,2011
Cereals and bakery products,8,2011.0,3.0,3.8,4.6,2011
Cereals and bakery products,9,2011.0,3.4,3.9,4.5,2011
Cereals and bakery products,10,2011.0,3.6,4.0,4.4,2011
Cereals and bakery products,11,2011.0,3.8,4.0,4.3,2011
Cereals and bakery products,12,2011.0,3.8,4.0,4.1,2011
Nonalcoholic beverages,7,2010.0,-4.5,-0.5,3.5,2011
