ppi_item,curr_month,curr_year,lower,mid,upper,pred_year
Farm-level cattle,7,2019.0,-20.8,-2.2,22.0,2020
Farm-level cattle,8,2019.0,-21.4,-2.9,20.4,2020
Farm-level cattle,9,2019.0,-23.2,-5.2,16.3,2020
Farm-level cattle,10,2019.0,-25.1,-8.5,12.2,2020
Farm-level cattle,11,2019.0,-20.5,-3.8,17.1,2020
Farm-level cattle,12,2019.0,-17.4,-1.3,18.2,2020
Farm-level cattle,1,2020.0,-14.9,0.3,18.8,2020
Farm-level cattle,2,2020.0,-9.6,5.0,22.1,2020
Farm-level cattle,3,2020.0,-8.6,3.3,18.0,2020
Farm-level cattle,4,2020.0,-12.2,-2.5,9.4,2020
Farm-level cattle,5,2020.0,-13.1,-4.7,4.6,2020
Farm-level cattle,6,2020.0,-8.5,-1.3,7.1,2020
Farm-level cattle,7,2020.0,-9.6,-4.1,2.4,2020
Farm-level cattle,8,2020.0,-11.3,-7.1,-2.4,2020
Farm-level cattle,9,2020.0,-8.0,-4.8,-1.1,2020
Farm-level cattle,10,2020.0,-7.5,-5.2,-2.8,2020
Farm-level cattle,11,2020.0,-6.3,-4.9,-3.5,2020
Farm-level cattle,12,2020.0,-5.3,-4.7,-3.9,2020
Wholesale beef,7,2019.0,-20.1,-0.7,22.9,2020
Wholesale beef,8,2019.0,-20.5,-1.9,21.1,2020
Wholesale beef,9,2019.0,-19.7,-0.8,21.7,2020
Wholesale beef,10,2019.0,-18.5,-0.7,21.0,2020
Wholesale beef,11,2019.0,-17.7,-0.5,20.4,2020
Wholesale beef,12,2019.0,-13.8,3.3,23.6,2020
Wholesale beef,1,2020.0,-18.0,-3.1,14.4,2020
Wholesale beef,2,2020.0,-18.9,-6.2,8.7,2020
Wholesale beef,3,2020.0,-19.0,-8.4,4.5,2020
Wholesale beef,4,2020.0,-17.3,-7.9,3.2,2020
Wholesale beef,5,2020.0,-7.2,2.4,13.3,2020
Wholesale beef,6,2020.0,62.0,99.8,154.3,2020
Wholesale beef,7,2020.0,6.2,14.9,25.1,2020
Wholesale beef,8,2020.0,0.3,6.1,12.8,2020
Wholesale beef,9,2020.0,-1.7,2.6,7.6,2020
Wholesale beef,10,2020.0,-0.3,2.9,6.8,2020
Wholesale beef,11,2020.0,-0.1,2.1,4.6,2020
Wholesale beef,12,2020.0,1.0,2.2,3.4,2020
Wholesale pork,7,2019.0,-16.7,5.1,32.2,2020
Wholesale pork,8,2019.0,-21.8,2.3,33.6,2020
Wholesale pork,9,2019.0,-20.0,3.9,35.5,2020
Wholesale pork,10,2019.0,-18.3,4.3,34.5,2020
Wholesale pork,11,2019.0,-18.1,3.6,31.9,2020
Wholesale pork,12,2019.0,-15.9,4.5,31.3,2020
Wholesale pork,1,2020.0,-8.8,8.5,30.3,2020
Wholesale pork,2,2020.0,-8.4,6.8,25.5,2020
Wholesale pork,3,2020.0,-11.1,1.3,17.0,2020
Wholesale pork,4,2020.0,-11.4,-0.9,11.6,2020
Wholesale pork,5,2020.0,-10.3,-1.4,8.9,2020
Wholesale pork,6,2020.0,1.4,10.6,21.4,2020
Wholesale pork,7,2020.0,-4.1,2.6,10.5,2020
Wholesale pork,8,2020.0,-6.3,-1.4,4.2,2020
Wholesale pork,9,2020.0,-4.0,-0.3,4.0,2020
Wholesale pork,10,2020.0,-2.4,0.3,3.2,2020
Wholesale pork,11,2020.0,0.3,2.0,3.9,2020
Wholesale pork,12,2020.0,1.9,2.8,3.6,2020
Wholesale poultry,7,2019.0,-8.4,0.7,11.1,2020
Wholesale poultry,8,2019.0,-7.5,1.5,11.3,2020
Wholesale poultry,9,2019.0,-9.0,-0.1,9.2,2020
Wholesale poultry,10,2019.0,-8.9,-0.6,8.7,2020
Wholesale poultry,11,2019.0,-10.1,-2.1,6.5,2020
Wholesale poultry,12,2019.0,-9.6,-2.1,5.9,2020
Wholesale poultry,1,2020.0,-6.8,0.2,8.0,2020
Wholesale poultry,2,2020.0,-7.2,-1.0,5.6,2020
Wholesale poultry,3,2020.0,-6.3,-0.9,4.8,2020
Wholesale poultry,4,2020.0,-5.1,-0.4,4.6,2020
Wholesale poultry,5,2020.0,-4.4,-0.3,4.0,2020
Wholesale poultry,6,2020.0,-2.9,0.4,3.9,2020
Wholesale poultry,7,2020.0,-2.0,0.6,3.5,2020
Wholesale poultry,8,2020.0,-1.3,0.8,3.0,2020
Wholesale poultry,9,2020.0,-1.1,0.5,2.1,2020
Wholesale poultry,10,2020.0,-2.0,-0.9,0.2,2020
Wholesale poultry,11,2020.0,-1.3,-0.6,0.0,2020
Wholesale poultry,12,2020.0,-0.9,-0.6,-0.2,2020
Farm-level eggs,7,2019.0,-14.2,31.7,102.5,2020
Farm-level eggs,8,2019.0,-10.8,35.1,108.1,2020
Farm-level eggs,9,2019.0,-12.0,33.7,103.9,2020
Farm-level eggs,10,2019.0,-11.6,31.3,98.3,2020
Farm-level eggs,11,2019.0,-11.9,33.2,101.6,2020
Farm-level eggs,12,2019.0,-7.5,37.9,106.8,2020
Farm-level eggs,1,2020.0,-9.0,36.0,104.9,2020
Farm-level eggs,2,2020.0,-24.4,11.8,68.0,2020
Farm-level eggs,3,2020.0,-17.4,17.5,72.2,2020
Farm-level eggs,4,2020.0,-4.7,31.3,88.4,2020
Farm-level eggs,5,2020.0,3.2,35.7,87.2,2020
Farm-level eggs,6,2020.0,-8.2,15.4,53.2,2020
Farm-level eggs,7,2020.0,-7.7,12.4,44.1,2020
Farm-level eggs,8,2020.0,-5.9,10.5,37.1,2020
Farm-level eggs,9,2020.0,-7.8,4.5,23.4,2020
Farm-level eggs,10,2020.0,-1.5,8.9,24.9,2020
Farm-level eggs,11,2020.0,6.7,14.8,26.8,2020
Farm-level eggs,12,2020.0,10.8,14.8,20.7,2020
Farm-level milk,7,2019.0,-20.7,-0.6,24.9,2020
Farm-level milk,8,2019.0,-20.8,-0.5,25.1,2020
Farm-level milk,9,2019.0,-21.0,-0.7,24.6,2020
Farm-level milk,10,2019.0,-20.5,0.2,26.2,2020
Farm-level milk,11,2019.0,-18.6,1.8,27.1,2020
Farm-level milk,12,2019.0,-14.7,5.3,31.4,2020
Farm-level milk,1,2020.0,-18.1,7.1,40.9,2020
Farm-level milk,2,2020.0,-18.6,2.3,31.6,2020
Farm-level milk,3,2020.0,-15.9,2.3,27.0,2020
Farm-level milk,4,2020.0,-18.0,-3.2,16.8,2020
Farm-level milk,5,2020.0,-34.4,-24.8,-11.5,2020
Farm-level milk,6,2020.0,-25.9,-16.5,-4.8,2020
Farm-level milk,7,2020.0,-8.2,3.1,17.2,2020
Farm-level milk,8,2020.0,-8.3,0.1,10.2,2020
Farm-level milk,9,2020.0,-9.5,-4.2,2.4,2020
Farm-level milk,10,2020.0,-7.9,-4.4,-0.2,2020
Farm-level milk,11,2020.0,-2.1,0.4,3.3,2020
Farm-level milk,12,2020.0,-1.3,-0.5,0.5,2020
Wholesale dairy,7,2019.0,-14.1,1.4,21.0,2020
Wholesale dairy,8,2019.0,-12.7,2.3,21.1,2020
Wholesale dairy,9,2019.0,-13.1,1.9,19.9,2020
Wholesale dairy,10,2019.0,-12.0,2.5,19.2,2020
Wholesale dairy,11,2019.0,-11.1,2.4,18.3,2020
Wholesale dairy,12,2019.0,-8.0,4.9,19.9,2020
Wholesale dairy,1,2020.0,-9.0,2.2,15.1,2020
Wholesale dairy,2,2020.0,-8.8,0.7,11.7,2020
Wholesale dairy,3,2020.0,-7.7,0.6,9.9,2020
Wholesale dairy,4,2020.0,-7.2,-0.3,7.5,2020
Wholesale dairy,5,2020.0,-12.8,-7.2,-1.0,2020
Wholesale dairy,6,2020.0,-9.8,-5.1,0.1,2020
Wholesale dairy,7,2020.0,-0.8,3.9,9.2,2020
Wholesale dairy,8,2020.0,-1.6,1.7,5.4,2020
Wholesale dairy,9,2020.0,-2.8,-0.6,1.8,2020
Wholesale dairy,10,2020.0,-1.2,0.3,1.9,2020
Wholesale dairy,11,2020.0,-0.1,0.7,1.6,2020
Wholesale dairy,12,2020.0,0.6,0.9,1.2,2020
Farm-level soybeans,7,2019.0,-40.1,-1.8,64.8,2020
Farm-level soybeans,8,2019.0,-34.0,3.1,62.0,2020
Farm-level soybeans,9,2019.0,-34.9,0.5,54.6,2020
Farm-level soybeans,10,2019.0,-34.9,-1.8,51.3,2020
Farm-level soybeans,11,2019.0,-30.1,7.1,66.3,2020
Farm-level soybeans,12,2019.0,-26.8,7.6,58.1,2020
Farm-level soybeans,1,2020.0,-22.3,4.5,43.9,2020
Farm-level soybeans,2,2020.0,-16.2,9.2,44.6,2020
Farm-level soybeans,3,2020.0,-17.0,3.7,32.5,2020
Farm-level soybeans,4,2020.0,-15.3,2.5,26.8,2020
Farm-level soybeans,5,2020.0,-14.4,0.3,19.9,2020
Farm-level soybeans,6,2020.0,-11.8,0.5,16.7,2020
Farm-level soybeans,7,2020.0,-8.7,1.2,13.7,2020
Farm-level soybeans,8,2020.0,-6.0,1.9,12.0,2020
Farm-level soybeans,9,2020.0,-4.5,1.5,8.7,2020
Farm-level soybeans,10,2020.0,1.5,6.1,11.7,2020
Farm-level soybeans,11,2020.0,4.6,7.6,11.1,2020
Farm-level soybeans,12,2020.0,8.2,9.7,11.4,2020
Wholesale fats and oils,7,2019.0,-12.1,5.0,25.9,2020
Wholesale fats and oils,8,2019.0,-10.9,5.8,26.8,2020
Wholesale fats and oils,9,2019.0,-11.8,4.4,24.6,2020
Wholesale fats and oils,10,2019.0,-12.0,4.4,23.9,2020
Wholesale fats and oils,11,2019.0,-21.4,-3.1,20.9,2020
Wholesale fats and oils,12,2019.0,-17.7,-0.3,21.5,2020
Wholesale fats and oils,1,2020.0,-13.7,-0.3,15.7,2020
Wholesale fats and oils,2,2020.0,-11.9,-0.4,12.9,2020
Wholesale fats and oils,3,2020.0,-8.7,1.6,13.6,2020
Wholesale fats and oils,4,2020.0,-10.2,-2.0,7.5,2020
Wholesale fats and oils,5,2020.0,-6.4,0.5,8.7,2020
Wholesale fats and oils,6,2020.0,-7.0,-1.6,4.5,2020
Wholesale fats and oils,7,2020.0,-2.9,1.6,6.7,2020
Wholesale fats and oils,8,2020.0,-2.2,1.0,4.5,2020
Wholesale fats and oils,9,2020.0,-0.8,1.5,3.9,2020
Wholesale fats and oils,10,2020.0,0.4,1.8,3.3,2020
Wholesale fats and oils,11,2020.0,1.5,2.3,3.1,2020
Wholesale fats and oils,12,2020.0,2.2,2.5,2.9,2020
Farm-level fruits,7,2019.0,-11.5,1.4,16.1,2020
Farm-level fruits,8,2019.0,-11.4,1.8,17.0,2020
Farm-level fruits,9,2019.0,-11.2,2.1,17.0,2020
Farm-level fruits,10,2019.0,-11.2,1.9,16.8,2020
Farm-level fruits,11,2019.0,-10.7,2.2,17.2,2020
Farm-level fruits,12,2019.0,-10.2,2.6,17.7,2020
Farm-level fruits,1,2020.0,-7.7,5.8,21.1,2020
Farm-level fruits,2,2020.0,-10.9,1.4,14.7,2020
Farm-level fruits,3,2020.0,-9.2,1.3,13.7,2020
Farm-level fruits,4,2020.0,-9.1,0.3,10.9,2020
Farm-level fruits,5,2020.0,-12.6,-4.5,5.0,2020
Farm-level fruits,6,2020.0,-8.8,-1.6,6.8,2020
Farm-level fruits,7,2020.0,-6.5,0.1,7.5,2020
Farm-level fruits,8,2020.0,-3.8,1.6,7.9,2020
Farm-level fruits,9,2020.0,-3.3,0.9,5.8,2020
Farm-level fruits,10,2020.0,0.2,3.5,7.3,2020
Farm-level fruits,11,2020.0,1.4,3.6,6.1,2020
Farm-level fruits,12,2020.0,1.0,2.1,3.2,2020
Farm-level vegetables,7,2019.0,-20.8,-5.2,13.9,2020
