ppi_item,curr_month,curr_year,lower,mid,upper,pred_year
Farm-level cattle,7,2015.0,-22.3,-1.8,23.1,2016
Farm-level cattle,8,2015.0,-22.5,-3.1,21.4,2016
Farm-level cattle,9,2015.0,-21.6,-2.9,20.9,2016
Farm-level cattle,10,2015.0,-26.3,-8.6,13.5,2016
Farm-level cattle,11,2015.0,-27.8,-11.3,8.9,2016
Farm-level cattle,12,2015.0,-28.4,-13.7,4.6,2016
Farm-level cattle,1,2016.0,-31.6,-20.4,-7.4,2016
Farm-level cattle,2,2016.0,-22.9,-11.9,0.9,2016
Farm-level cattle,3,2016.0,-21.3,-11.7,-0.4,2016
Farm-level cattle,4,2016.0,-17.8,-8.9,1.0,2016
Farm-level cattle,5,2016.0,-18.4,-11.4,-3.3,2016
Farm-level cattle,6,2016.0,-18.4,-12.5,-5.8,2016
Farm-level cattle,7,2016.0,-20.2,-15.7,-10.6,2016
Farm-level cattle,8,2016.0,-20.1,-16.7,-12.9,2016
Farm-level cattle,9,2016.0,-19.1,-16.5,-13.6,2016
Farm-level cattle,10,2016.0,-20.1,-18.4,-16.6,2016
Farm-level cattle,11,2016.0,-21.2,-20.3,-19.3,2016
Farm-level cattle,12,2016.0,-19.9,-19.5,-19.0,2016
Wholesale beef,7,2015.0,-7.5,6.1,21.0,2016
Wholesale beef,8,2015.0,-8.0,5.0,20.2,2016
Wholesale beef,9,2015.0,-7.6,5.3,20.3,2016
Wholesale beef,10,2015.0,-16.6,-2.6,13.5,2016
Wholesale beef,11,2015.0,-19.4,-5.9,9.8,2016
Wholesale beef,12,2015.0,-21.4,-8.4,7.0,2016
Wholesale beef,1,2016.0,-32.8,-20.3,-4.7,2016
Wholesale beef,2,2016.0,-27.9,-16.2,-1.9,2016
Wholesale beef,3,2016.0,-26.6,-16.2,-4.1,2016
Wholesale beef,4,2016.0,-22.0,-12.7,-1.5,2016
Wholesale beef,5,2016.0,-19.9,-11.8,-2.3,2016
Wholesale beef,6,2016.0,-19.4,-12.9,-5.3,2016
Wholesale beef,7,2016.0,-15.5,-10.0,-3.6,2016
Wholesale beef,8,2016.0,-18.1,-14.2,-9.8,2016
Wholesale beef,9,2016.0,-17.7,-14.8,-11.6,2016
Wholesale beef,10,2016.0,-17.5,-15.6,-13.6,2016
Wholesale beef,11,2016.0,-17.3,-16.2,-15.1,2016
Wholesale beef,12,2016.0,-17.4,-16.9,-16.5,2016
Wholesale pork,7,2015.0,-18.8,1.8,28.1,2016
Wholesale pork,8,2015.0,-20.0,-0.2,24.8,2016
Wholesale pork,9,2015.0,-19.0,1.2,25.2,2016
Wholesale pork,10,2015.0,-18.6,-0.5,23.2,2016
Wholesale pork,11,2015.0,-16.7,1.3,23.7,2016
Wholesale pork,12,2015.0,-16.8,0.0,21.1,2016
Wholesale pork,1,2016.0,-18.5,-3.5,15.1,2016
Wholesale pork,2,2016.0,-20.0,-6.8,9.1,2016
Wholesale pork,3,2016.0,-15.3,-3.3,11.0,2016
Wholesale pork,4,2016.0,-15.4,-5.7,6.1,2016
Wholesale pork,5,2016.0,-14.2,-5.6,4.3,2016
Wholesale pork,6,2016.0,-9.1,-1.5,7.2,2016
Wholesale pork,7,2016.0,-5.7,0.3,7.6,2016
