cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2015.0,-0.3,2.2,4.6,2016
All food,8,2015.0,0.6,2.4,4.3,2016
All food,9,2015.0,0.6,2.5,4.3,2016
All food,10,2015.0,0.9,2.6,4.4,2016
All food,11,2015.0,0.9,2.5,4.2,2016
All food,12,2015.0,0.4,1.9,3.5,2016
All food,1,2016.0,-0.6,1.1,2.8,2016
All food,2,2016.0,0.5,1.8,3.1,2016
All food,3,2016.0,0.2,1.4,2.6,2016
All food,4,2016.0,-0.2,0.8,1.9,2016
All food,5,2016.0,0.1,0.9,1.8,2016
All food,6,2016.0,-0.5,0.3,1.1,2016
All food,7,2016.0,-0.5,0.1,0.8,2016
All food,8,2016.0,-0.3,0.2,0.7,2016
All food,9,2016.0,-0.1,0.3,0.6,2016
All food,10,2016.0,0.1,0.3,0.6,2016
All food,11,2016.0,0.2,0.3,0.5,2016
All food,12,2016.0,0.2,0.3,0.4,2016
Food away from home,7,2015.0,0.6,2.7,4.9,2016
Food away from home,8,2015.0,0.1,2.1,4.0,2016
Food away from home,9,2015.0,0.5,2.3,4.1,2016
Food away from home,10,2015.0,1.7,3.3,5.0,2016
Food away from home,11,2015.0,1.6,3.0,4.5,2016
Food away from home,12,2015.0,1.5,2.8,4.1,2016
Food away from home,1,2016.0,1.4,2.5,3.7,2016
Food away from home,2,2016.0,1.9,2.8,3.8,2016
Food away from home,3,2016.0,1.8,2.6,3.4,2016
Food away from home,4,2016.0,2.0,2.6,3.3,2016
Food away from home,5,2016.0,2.1,2.7,3.2,2016
Food away from home,6,2016.0,2.2,2.7,3.1,2016
Food away from home,7,2016.0,2.3,2.6,3.0,2016
Food away from home,8,2016.0,2.4,2.6,2.9,2016
Food away from home,9,2016.0,2.4,2.6,2.8,2016
Food away from home,10,2016.0,2.5,2.6,2.8,2016
Food away from home,11,2016.0,2.5,2.6,2.7,2016
Food away from home,12,2016.0,2.5,2.6,2.6,2016
Food at home,7,2015.0,-0.7,2.2,5.1,2016
Food at home,8,2015.0,-0.5,2.2,5.0,2016
Food at home,9,2015.0,-0.3,2.3,5.0,2016
Food at home,10,2015.0,-0.2,2.3,4.9,2016
Food at home,11,2015.0,-0.1,2.3,4.7,2016
Food at home,12,2015.0,-0.9,1.3,3.7,2016
Food at home,1,2016.0,-1.5,0.7,2.9,2016
Food at home,2,2016.0,-0.9,1.0,2.9,2016
Food at home,3,2016.0,-0.9,0.8,2.5,2016
Food at home,4,2016.0,-1.5,-0.2,1.3,2016
Food at home,5,2016.0,-1.2,0.0,1.2,2016
Food at home,6,2016.0,-2.4,-1.3,-0.1,2016
Food at home,7,2016.0,-2.3,-1.4,-0.6,2016
Food at home,8,2016.0,-2.1,-1.4,-0.7,2016
Food at home,9,2016.0,-1.8,-1.3,-0.8,2016
Food at home,10,2016.0,-1.6,-1.2,-0.9,2016
Food at home,11,2016.0,-1.4,-1.2,-1.0,2016
Food at home,12,2016.0,-1.4,-1.3,-1.2,2016
"Meats, poultry, and fish",7,2015.0,-1.6,3.4,8.8,2016
"Meats, poultry, and fish",8,2015.0,-1.9,3.0,8.3,2016
"Meats, poultry, and fish",9,2015.0,-1.9,2.9,8.0,2016
"Meats, poultry, and fish",10,2015.0,-2.3,2.3,7.0,2016
"Meats, poultry, and fish",11,2015.0,-2.5,1.8,6.4,2016
"Meats, poultry, and fish",12,2015.0,-3.6,0.4,4.6,2016
"Meats, poultry, and fish",1,2016.0,-5.8,-2.4,1.3,2016
"Meats, poultry, and fish",2,2016.0,-5.5,-2.5,0.7,2016
"Meats, poultry, and fish",3,2016.0,-5.2,-2.6,0.1,2016
"Meats, poultry, and fish",4,2016.0,-4.5,-2.3,0.1,2016
"Meats, poultry, and fish",5,2016.0,-3.9,-1.9,0.0,2016
"Meats, poultry, and fish",6,2016.0,-4.3,-2.7,-1.1,2016
"Meats, poultry, and fish",7,2016.0,-3.9,-2.7,-1.4,2016
"Meats, poultry, and fish",8,2016.0,-4.1,-3.1,-2.2,2016
"Meats, poultry, and fish",9,2016.0,-3.7,-3.0,-2.3,2016
"Meats, poultry, and fish",10,2016.0,-3.6,-3.1,-2.7,2016
"Meats, poultry, and fish",11,2016.0,-3.6,-3.4,-3.1,2016
"Meats, poultry, and fish",12,2016.0,-3.6,-3.5,-3.3,2016
Meats,7,2015.0,-3.1,3.8,11.2,2016
Meats,8,2015.0,-3.4,3.5,10.9,2016
Meats,9,2015.0,-3.3,3.3,10.0,2016
Meats,10,2015.0,-3.3,2.9,9.6,2016
Meats,11,2015.0,-3.4,2.4,8.6,2016
Meats,12,2015.0,-5.4,0.0,5.8,2016
Meats,1,2016.0,-9.5,-4.7,0.5,2016
Meats,2,2016.0,-9.1,-4.8,-0.4,2016
Meats,3,2016.0,-7.4,-3.8,0.1,2016
Meats,4,2016.0,-6.2,-3.1,0.1,2016
Meats,5,2016.0,-6.1,-3.6,-0.9,2016
Meats,6,2016.0,-6.0,-4.0,-1.9,2016
Meats,7,2016.0,-5.3,-3.7,-2.0,2016
Meats,8,2016.0,-5.5,-4.3,-3.0,2016
Meats,9,2016.0,-4.5,-3.7,-2.8,2016
Meats,10,2016.0,-4.6,-4.0,-3.5,2016
Meats,11,2016.0,-4.6,-4.3,-4.0,2016
Meats,12,2016.0,-4.5,-4.4,-4.3,2016
Beef and veal,7,2015.0,-3.4,6.1,16.2,2016
Beef and veal,8,2015.0,-4.0,5.2,15.0,2016
Beef and veal,9,2015.0,-4.3,4.2,13.8,2016
Beef and veal,10,2015.0,-5.0,3.4,12.4,2016
Beef and veal,11,2015.0,-5.9,1.9,10.4,2016
Beef and veal,12,2015.0,-7.5,0.0,7.9,2016
Beef and veal,1,2016.0,-9.0,-3.6,2.1,2016
Beef and veal,2,2016.0,-9.7,-5.0,0.1,2016
Beef and veal,3,2016.0,-8.2,-4.2,0.3,2016
Beef and veal,4,2016.0,-6.9,-3.3,0.5,2016
Beef and veal,5,2016.0,-7.0,-4.1,-0.8,2016
Beef and veal,6,2016.0,-6.5,-4.0,-1.5,2016
Beef and veal,7,2016.0,-6.6,-4.7,-2.7,2016
Beef and veal,8,2016.0,-7.1,-5.6,-4.1,2016
