cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2006.0,0.9,2.3,3.7,2007
All food,8,2006.0,1.0,2.4,3.7,2007
All food,9,2006.0,1.1,2.4,3.7,2007
All food,10,2006.0,1.3,2.5,3.7,2007
All food,11,2006.0,1.5,2.7,3.9,2007
All food,12,2006.0,1.3,2.4,3.5,2007
All food,1,2007.0,1.2,2.3,3.3,2007
All food,2,2007.0,2.1,3.0,4.0,2007
All food,3,2007.0,2.6,3.4,4.3,2007
All food,4,2007.0,2.7,3.4,4.1,2007
All food,5,2007.0,2.8,3.4,4.1,2007
All food,6,2007.0,3.1,3.6,4.1,2007
All food,7,2007.0,3.2,3.7,4.1,2007
All food,8,2007.0,3.4,3.7,4.1,2007
All food,9,2007.0,3.5,3.8,4.1,2007
All food,10,2007.0,3.7,3.9,4.1,2007
All food,11,2007.0,3.8,4.0,4.1,2007
All food,12,2007.0,3.9,4.0,4.1,2007
Food away from home,7,2006.0,2.2,3.0,3.9,2007
Food away from home,8,2006.0,2.2,3.1,4.0,2007
Food away from home,9,2006.0,2.3,3.1,4.0,2007
Food away from home,10,2006.0,2.2,3.0,3.8,2007
Food away from home,11,2006.0,2.3,3.1,3.8,2007
Food away from home,12,2006.0,2.4,3.0,3.7,2007
Food away from home,1,2007.0,2.4,2.9,3.4,2007
Food away from home,2,2007.0,2.8,3.4,3.9,2007
Food away from home,3,2007.0,3.0,3.5,4.0,2007
Food away from home,4,2007.0,2.9,3.3,3.7,2007
Food away from home,5,2007.0,3.0,3.3,3.7,2007
Food away from home,6,2007.0,3.0,3.3,3.6,2007
Food away from home,7,2007.0,3.2,3.4,3.6,2007
Food away from home,8,2007.0,3.3,3.5,3.7,2007
Food away from home,9,2007.0,3.4,3.6,3.8,2007
Food away from home,10,2007.0,3.6,3.7,3.8,2007
Food away from home,11,2007.0,3.6,3.7,3.8,2007
Food away from home,12,2007.0,3.6,3.7,3.7,2007
Food at home,7,2006.0,-0.1,2.1,4.3,2007
Food at home,8,2006.0,0.0,2.1,4.2,2007
Food at home,9,2006.0,0.1,2.1,4.1,2007
Food at home,10,2006.0,0.4,2.4,4.3,2007
Food at home,11,2006.0,0.8,2.6,4.5,2007
Food at home,12,2006.0,0.3,2.1,3.9,2007
Food at home,1,2007.0,0.2,1.9,3.5,2007
Food at home,2,2007.0,1.5,2.9,4.5,2007
Food at home,3,2007.0,2.2,3.5,4.9,2007
Food at home,4,2007.0,2.5,3.6,4.8,2007
Food at home,5,2007.0,2.5,3.5,4.5,2007
Food at home,6,2007.0,3.0,3.9,4.7,2007
Food at home,7,2007.0,3.2,3.9,4.6,2007
Food at home,8,2007.0,3.4,3.9,4.5,2007
Food at home,9,2007.0,3.6,4.0,4.4,2007
Food at home,10,2007.0,3.8,4.1,4.4,2007
Food at home,11,2007.0,4.0,4.2,4.4,2007
Food at home,12,2007.0,4.1,4.2,4.3,2007
"Meats, poultry, and fish",7,2006.0,-1.6,2.4,6.7,2007
"Meats, poultry, and fish",8,2006.0,-2.0,1.9,5.9,2007
"Meats, poultry, and fish",9,2006.0,-1.0,2.8,6.9,2007
"Meats, poultry, and fish",10,2006.0,-0.8,2.9,6.7,2007
"Meats, poultry, and fish",11,2006.0,-0.9,2.6,6.2,2007
"Meats, poultry, and fish",12,2006.0,-1.1,2.1,5.5,2007
"Meats, poultry, and fish",1,2007.0,-1.5,1.6,4.7,2007
"Meats, poultry, and fish",2,2007.0,-0.3,2.4,5.1,2007
"Meats, poultry, and fish",3,2007.0,-0.3,2.0,4.4,2007
"Meats, poultry, and fish",4,2007.0,1.4,3.4,5.4,2007
"Meats, poultry, and fish",5,2007.0,1.9,3.7,5.4,2007
"Meats, poultry, and fish",6,2007.0,2.8,4.3,5.8,2007
"Meats, poultry, and fish",7,2007.0,3.5,4.6,5.8,2007
"Meats, poultry, and fish",8,2007.0,3.0,3.9,4.8,2007
"Meats, poultry, and fish",9,2007.0,3.3,3.9,4.6,2007
"Meats, poultry, and fish",10,2007.0,3.5,3.9,4.4,2007
"Meats, poultry, and fish",11,2007.0,3.7,3.9,4.2,2007
"Meats, poultry, and fish",12,2007.0,3.7,3.9,4.0,2007
Meats,7,2006.0,-3.0,2.3,7.8,2007
Meats,8,2006.0,-3.3,2.0,7.5,2007
Meats,9,2006.0,-2.4,2.6,7.8,2007
Meats,10,2006.0,-1.9,2.8,7.7,2007
Meats,11,2006.0,-1.8,2.7,7.6,2007
Meats,12,2006.0,-1.6,2.5,6.9,2007
Meats,1,2007.0,-2.6,1.4,5.4,2007
Meats,2,2007.0,-0.9,2.5,6.0,2007
Meats,3,2007.0,-1.2,1.7,4.8,2007
Meats,4,2007.0,1.1,3.7,6.3,2007
Meats,5,2007.0,1.1,3.3,5.5,2007
Meats,6,2007.0,2.3,4.1,6.0,2007
Meats,7,2007.0,2.8,4.2,5.7,2007
Meats,8,2007.0,2.3,3.4,4.5,2007
Meats,9,2007.0,2.6,3.4,4.2,2007
Meats,10,2007.0,2.8,3.4,3.9,2007
