cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2003.0,0.8,2.3,3.9,2004
All food,8,2003.0,0.7,2.3,3.8,2004
All food,9,2003.0,0.9,2.4,3.9,2004
All food,10,2003.0,1.0,2.4,3.8,2004
All food,11,2003.0,1.3,2.7,4.1,2004
All food,12,2003.0,1.6,2.9,4.2,2004
All food,1,2004.0,2.2,3.4,4.6,2004
All food,2,2004.0,2.2,3.3,4.4,2004
All food,3,2004.0,2.3,3.2,4.2,2004
All food,4,2004.0,2.4,3.2,4.0,2004
All food,5,2004.0,2.4,3.1,3.8,2004
All food,6,2004.0,3.0,3.6,4.1,2004
All food,7,2004.0,3.0,3.5,4.0,2004
All food,8,2004.0,3.1,3.5,3.9,2004
All food,9,2004.0,3.1,3.4,3.7,2004
All food,10,2004.0,3.1,3.3,3.6,2004
All food,11,2004.0,3.3,3.5,3.6,2004
All food,12,2004.0,3.4,3.4,3.5,2004
Food away from home,7,2003.0,1.8,2.4,3.0,2004
Food away from home,8,2003.0,1.6,2.4,3.2,2004
Food away from home,9,2003.0,1.6,2.4,3.2,2004
Food away from home,10,2003.0,1.5,2.2,3.0,2004
Food away from home,11,2003.0,1.7,2.4,3.1,2004
Food away from home,12,2003.0,1.8,2.5,3.1,2004
Food away from home,1,2004.0,1.9,2.6,3.2,2004
Food away from home,2,2004.0,2.2,2.7,3.3,2004
Food away from home,3,2004.0,2.4,2.9,3.4,2004
Food away from home,4,2004.0,2.4,2.8,3.2,2004
Food away from home,5,2004.0,2.5,2.8,3.2,2004
Food away from home,6,2004.0,2.6,2.9,3.1,2004
Food away from home,7,2004.0,2.6,2.8,3.1,2004
Food away from home,8,2004.0,2.7,2.9,3.1,2004
Food away from home,9,2004.0,2.8,3.0,3.1,2004
Food away from home,10,2004.0,2.9,3.0,3.1,2004
Food away from home,11,2004.0,2.9,3.0,3.1,2004
Food away from home,12,2004.0,2.9,3.0,3.0,2004
Food at home,7,2003.0,-0.1,2.3,4.8,2004
Food at home,8,2003.0,-0.2,2.2,4.6,2004
Food at home,9,2003.0,0.1,2.4,4.7,2004
Food at home,10,2003.0,0.3,2.4,4.7,2004
Food at home,11,2003.0,0.8,2.9,5.1,2004
Food at home,12,2003.0,1.2,3.2,5.3,2004
Food at home,1,2004.0,2.2,4.0,5.9,2004
Food at home,2,2004.0,2.2,3.8,5.4,2004
Food at home,3,2004.0,2.1,3.6,5.0,2004
Food at home,4,2004.0,2.3,3.5,4.7,2004
Food at home,5,2004.0,2.2,3.3,4.3,2004
Food at home,6,2004.0,3.2,4.1,5.0,2004
Food at home,7,2004.0,3.3,4.0,4.7,2004
Food at home,8,2004.0,3.4,4.0,4.5,2004
Food at home,9,2004.0,3.4,3.8,4.2,2004
Food at home,10,2004.0,3.3,3.6,3.9,2004
Food at home,11,2004.0,3.6,3.8,4.0,2004
Food at home,12,2004.0,3.7,3.8,3.9,2004
"Meats, poultry, and fish",7,2003.0,-0.2,2.4,5.1,2004
"Meats, poultry, and fish",8,2003.0,-0.5,2.9,6.3,2004
"Meats, poultry, and fish",9,2003.0,-0.2,3.1,6.4,2004
"Meats, poultry, and fish",10,2003.0,0.3,3.8,7.4,2004
"Meats, poultry, and fish",11,2003.0,2.2,5.8,9.4,2004
"Meats, poultry, and fish",12,2003.0,10.7,16.6,22.8,2004
"Meats, poultry, and fish",1,2004.0,5.8,9.2,12.8,2004
"Meats, poultry, and fish",2,2004.0,3.9,6.5,9.2,2004
"Meats, poultry, and fish",3,2004.0,3.9,6.2,8.5,2004
"Meats, poultry, and fish",4,2004.0,3.9,5.8,7.8,2004
"Meats, poultry, and fish",5,2004.0,4.2,5.9,7.6,2004
"Meats, poultry, and fish",6,2004.0,5.8,7.2,8.6,2004
"Meats, poultry, and fish",7,2004.0,6.3,7.4,8.6,2004
"Meats, poultry, and fish",8,2004.0,6.9,7.9,8.8,2004
"Meats, poultry, and fish",9,2004.0,7.0,7.6,8.3,2004
"Meats, poultry, and fish",10,2004.0,7.1,7.6,8.1,2004
"Meats, poultry, and fish",11,2004.0,7.2,7.5,7.8,2004
"Meats, poultry, and fish",12,2004.0,7.3,7.4,7.5,2004
Meats,7,2003.0,-2.6,2.7,8.5,2004
Meats,8,2003.0,-0.7,3.1,7.0,2004
Meats,9,2003.0,-0.3,3.5,7.4,2004
Meats,10,2003.0,2.6,9.0,15.8,2004
Meats,11,2003.0,6.6,13.2,20.2,2004
Meats,12,2003.0,16.2,24.3,33.2,2004
Meats,1,2004.0,13.0,19.3,26.4,2004
Meats,2,2004.0,4.3,7.6,11.2,2004
Meats,3,2004.0,4.6,7.6,10.6,2004
Meats,4,2004.0,4.1,6.6,9.3,2004
Meats,5,2004.0,4.6,6.7,8.9,2004
Meats,6,2004.0,6.4,8.3,10.1,2004
Meats,7,2004.0,7.2,8.7,10.2,2004
Meats,8,2004.0,8.1,9.2,10.4,2004
Meats,9,2004.0,8.0,8.8,9.7,2004
Meats,10,2004.0,8.1,8.6,9.2,2004
Meats,11,2004.0,8.0,8.4,8.7,2004
Meats,12,2004.0,8.2,8.4,8.6,2004
Beef and veal,7,2003.0,-1.6,4.7,11.3,2004
Beef and veal,8,2003.0,-0.5,5.2,11.2,2004
Beef and veal,9,2003.0,0.0,5.5,11.4,2004
Beef and veal,10,2003.0,1.1,7.0,13.0,2004
Beef and veal,11,2003.0,6.0,12.8,19.8,2004
Beef and veal,12,2003.0,25.5,38.9,54.4,2004
Beef and veal,1,2004.0,15.0,23.2,32.0,2004
Beef and veal,2,2004.0,8.3,14.1,20.3,2004
Beef and veal,3,2004.0,9.1,14.0,19.5,2004
Beef and veal,4,2004.0,4.8,9.2,13.9,2004
Beef and veal,5,2004.0,7.4,11.1,15.1,2004
Beef and veal,6,2004.0,9.9,12.7,15.7,2004
Beef and veal,7,2004.0,10.7,13.0,15.4,2004
Beef and veal,8,2004.0,11.0,12.7,14.6,2004
Beef and veal,9,2004.0,10.9,12.1,13.4,2004
Beef and veal,10,2004.0,11.0,11.9,12.7,2004
Beef and veal,11,2004.0,11.0,11.5,12.0,2004
Beef and veal,12,2004.0,11.4,11.6,11.8,2004
Pork,7,2003.0,-6.1,1.7,10.2,2004
Pork,8,2003.0,-5.8,1.9,10.5,2004
Pork,9,2003.0,-5.7,1.8,9.9,2004
Pork,10,2003.0,-3.9,3.3,11.2,2004
Pork,11,2003.0,-3.8,3.1,10.5,2004
Pork,12,2003.0,-4.5,1.9,8.7,2004
Pork,1,2004.0,-4.2,1.4,7.5,2004
Pork,2,2004.0,-2.7,2.4,7.8,2004
Pork,3,2004.0,-2.8,1.6,6.3,2004
Pork,4,2004.0,-0.9,2.9,6.9,2004
Pork,5,2004.0,-1.8,1.3,4.5,2004
Pork,6,2004.0,1.5,4.1,7.0,2004
Pork,7,2004.0,3.0,5.2,7.6,2004
Pork,8,2004.0,4.2,6.0,7.8,2004
Pork,9,2004.0,4.7,6.0,7.3,2004
Pork,10,2004.0,5.3,6.2,7.1,2004
Pork,11,2004.0,5.4,5.9,6.4,2004
Pork,12,2004.0,5.5,5.8,6.0,2004
Other meats,7,2003.0,-0.4,2.1,4.7,2004
Other meats,8,2003.0,-0.1,2.4,4.9,2004
Other meats,9,2003.0,0.5,3.2,5.9,2004
Other meats,10,2003.0,0.6,3.0,5.6,2004
