cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2017.0,-3.4,0.7,4.9,2018
All food,8,2017.0,-2.9,1.3,5.8,2018
All food,9,2017.0,-2.8,1.1,5.1,2018
All food,10,2017.0,-1.8,1.6,5.3,2018
All food,11,2017.0,-1.5,1.7,4.9,2018
All food,12,2017.0,-2.1,0.7,3.4,2018
All food,1,2018.0,-1.4,1.0,3.3,2018
All food,2,2018.0,0.0,1.9,3.9,2018
All food,3,2018.0,-0.3,1.4,3.1,2018
All food,4,2018.0,0.1,1.4,2.8,2018
All food,5,2018.0,0.6,1.7,2.8,2018
All food,6,2018.0,0.5,1.3,2.2,2018
All food,7,2018.0,0.7,1.4,2.0,2018
All food,8,2018.0,0.9,1.4,1.9,2018
All food,9,2018.0,1.1,1.4,1.8,2018
All food,10,2018.0,1.2,1.4,1.7,2018
All food,11,2018.0,1.2,1.4,1.5,2018
All food,12,2018.0,1.3,1.4,1.5,2018
Food away from home,7,2017.0,-0.3,1.8,4.0,2018
Food away from home,8,2017.0,-0.1,1.9,3.9,2018
Food away from home,9,2017.0,0.7,2.4,4.2,2018
Food away from home,10,2017.0,1.1,2.8,4.4,2018
Food away from home,11,2017.0,0.9,2.4,3.8,2018
Food away from home,12,2017.0,1.0,2.4,3.6,2018
Food away from home,1,2018.0,1.3,2.5,3.6,2018
Food away from home,2,2018.0,1.9,2.9,3.9,2018
Food away from home,3,2018.0,2.0,2.8,3.7,2018
Food away from home,4,2018.0,1.9,2.6,3.3,2018
Food away from home,5,2018.0,2.1,2.6,3.2,2018
Food away from home,6,2018.0,2.4,2.8,3.2,2018
Food away from home,7,2018.0,2.4,2.7,3.1,2018
Food away from home,8,2018.0,2.4,2.6,2.9,2018
Food away from home,9,2018.0,2.4,2.6,2.8,2018
Food away from home,10,2018.0,2.5,2.6,2.8,2018
Food away from home,11,2018.0,2.5,2.6,2.7,2018
Food away from home,12,2018.0,2.5,2.6,2.7,2018
Food at home,7,2017.0,-5.9,0.0,6.3,2018
Food at home,8,2017.0,-3.1,0.5,4.3,2018
Food at home,9,2017.0,-3.3,0.3,4.0,2018
Food at home,10,2017.0,-2.8,0.5,3.9,2018
Food at home,11,2017.0,-2.4,0.7,3.8,2018
Food at home,12,2017.0,-3.8,-0.4,3.1,2018
