cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2008.0,2.5,4.5,6.5,2009
All food,8,2008.0,3.7,5.9,8.1,2009
All food,9,2008.0,4.0,6.1,8.3,2009
All food,10,2008.0,4.4,6.4,8.4,2009
All food,11,2008.0,4.6,6.4,8.3,2009
All food,12,2008.0,3.9,5.5,7.2,2009
All food,1,2009.0,3.3,4.7,6.2,2009
All food,2,2009.0,3.5,4.8,6.1,2009
All food,3,2009.0,2.9,4.0,5.1,2009
All food,4,2009.0,2.4,3.3,4.2,2009
All food,5,2009.0,2.1,2.9,3.6,2009
All food,6,2009.0,1.5,2.2,3.0,2009
All food,7,2009.0,1.8,2.3,2.7,2009
All food,8,2009.0,1.7,2.0,2.4,2009
All food,9,2009.0,1.7,2.0,2.3,2009
All food,10,2009.0,1.7,1.9,2.1,2009
All food,11,2009.0,1.7,1.9,2.0,2009
All food,12,2009.0,1.7,1.8,1.9,2009
Food away from home,7,2008.0,3.0,4.1,5.2,2009
Food away from home,8,2008.0,3.5,4.7,5.8,2009
Food away from home,9,2008.0,3.5,4.6,5.7,2009
Food away from home,10,2008.0,3.9,4.9,6.0,2009
Food away from home,11,2008.0,4.1,5.2,6.1,2009
Food away from home,12,2008.0,4.2,5.0,5.9,2009
Food away from home,1,2009.0,4.0,4.8,5.6,2009
Food away from home,2,2009.0,4.0,4.7,5.4,2009
Food away from home,3,2009.0,4.0,4.6,5.1,2009
Food away from home,4,2009.0,3.8,4.3,4.7,2009
Food away from home,5,2009.0,3.8,4.2,4.6,2009
Food away from home,6,2009.0,3.6,4.0,4.3,2009
Food away from home,7,2009.0,3.4,3.7,4.0,2009
Food away from home,8,2009.0,3.3,3.6,3.8,2009
Food away from home,9,2009.0,3.3,3.5,3.7,2009
Food away from home,10,2009.0,3.4,3.5,3.6,2009
Food away from home,11,2009.0,3.4,3.5,3.6,2009
Food away from home,12,2009.0,3.4,3.5,3.6,2009
Food at home,7,2008.0,1.1,3.2,5.4,2009
Food at home,8,2008.0,4.0,7.3,10.6,2009
Food at home,9,2008.0,4.5,7.7,10.9,2009
Food at home,10,2008.0,5.0,8.0,11.1,2009
Food at home,11,2008.0,5.0,7.8,10.6,2009
Food at home,12,2008.0,4.0,6.3,8.7,2009
Food at home,1,2009.0,2.5,4.6,6.8,2009
Food at home,2,2009.0,3.0,4.8,6.7,2009
Food at home,3,2009.0,2.0,3.5,5.1,2009
Food at home,4,2009.0,1.2,2.4,3.6,2009
Food at home,5,2009.0,0.7,1.7,2.8,2009
Food at home,6,2009.0,0.5,1.3,2.2,2009
Food at home,7,2009.0,0.5,1.2,1.8,2009
Food at home,8,2009.0,0.3,0.8,1.4,2009
Food at home,9,2009.0,0.3,0.7,1.1,2009
Food at home,10,2009.0,0.3,0.6,0.9,2009
Food at home,11,2009.0,0.4,0.6,0.8,2009
Food at home,12,2009.0,0.3,0.5,0.6,2009
"Meats, poultry, and fish",7,2008.0,-0.5,3.6,7.8,2009
"Meats, poultry, and fish",8,2008.0,-0.1,4.1,8.4,2009
"Meats, poultry, and fish",9,2008.0,0.9,5.1,9.6,2009
"Meats, poultry, and fish",10,2008.0,1.5,5.6,9.8,2009
"Meats, poultry, and fish",11,2008.0,1.7,5.6,9.8,2009
"Meats, poultry, and fish",12,2008.0,0.6,4.2,8.0,2009
"Meats, poultry, and fish",1,2009.0,0.4,3.7,7.2,2009
"Meats, poultry, and fish",2,2009.0,0.5,3.4,6.4,2009
"Meats, poultry, and fish",3,2009.0,0.6,3.1,5.7,2009
"Meats, poultry, and fish",4,2009.0,0.1,2.2,4.5,2009
"Meats, poultry, and fish",5,2009.0,0.1,1.9,3.8,2009
"Meats, poultry, and fish",6,2009.0,0.0,1.5,3.0,2009
"Meats, poultry, and fish",7,2009.0,0.5,1.6,2.9,2009
"Meats, poultry, and fish",8,2009.0,-0.2,0.7,1.7,2009
"Meats, poultry, and fish",9,2009.0,0.4,1.1,1.7,2009
"Meats, poultry, and fish",10,2009.0,0.3,0.7,1.2,2009
