cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2019.0,-2.8,1.3,5.6,2020
All food,8,2019.0,-4.6,0.9,6.7,2020
All food,9,2019.0,-4.4,0.6,5.9,2020
All food,10,2019.0,-2.9,1.6,6.3,2020
All food,11,2019.0,-1.7,2.1,6.2,2020
All food,12,2019.0,-2.2,1.2,4.7,2020
All food,1,2020.0,-0.1,1.5,3.2,2020
All food,2,2020.0,0.7,2.1,3.6,2020
All food,3,2020.0,1.1,2.3,3.6,2020
All food,4,2020.0,1.5,2.5,3.6,2020
All food,5,2020.0,3.4,4.4,5.4,2020
All food,6,2020.0,3.5,4.3,5.1,2020
All food,7,2020.0,3.8,4.5,5.1,2020
All food,8,2020.0,3.0,3.5,3.9,2020
All food,9,2020.0,3.2,3.5,3.9,2020
All food,10,2020.0,3.2,3.4,3.7,2020
All food,11,2020.0,3.4,3.5,3.7,2020
All food,12,2020.0,3.3,3.4,3.5,2020
Food away from home,7,2019.0,1.6,2.8,4.0,2020
Food away from home,8,2019.0,1.7,2.9,4.0,2020
Food away from home,9,2019.0,1.7,2.8,3.9,2020
Food away from home,10,2019.0,1.8,2.9,3.9,2020
Food away from home,11,2019.0,1.8,2.8,3.8,2020
Food away from home,12,2019.0,1.7,2.6,3.5,2020
Food away from home,1,2020.0,2.0,2.8,3.6,2020
Food away from home,2,2020.0,2.3,3.0,3.7,2020
Food away from home,3,2020.0,2.3,3.0,3.6,2020
Food away from home,4,2020.0,2.4,2.9,3.4,2020
Food away from home,5,2020.0,2.3,2.7,3.2,2020
Food away from home,6,2020.0,2.5,2.9,3.2,2020
Food away from home,7,2020.0,2.9,3.2,3.5,2020
Food away from home,8,2020.0,3.1,3.3,3.6,2020
Food away from home,9,2020.0,3.1,3.3,3.5,2020
Food away from home,10,2020.0,3.3,3.4,3.6,2020
Food away from home,11,2020.0,3.3,3.4,3.5,2020
Food away from home,12,2020.0,3.3,3.3,3.4,2020
Food at home,7,2019.0,-6.0,-0.2,6.1,2020
Food at home,8,2019.0,-5.7,-0.2,5.4,2020
Food at home,9,2019.0,-5.3,-0.5,4.8,2020
Food at home,10,2019.0,-4.4,0.1,4.9,2020
Food at home,11,2019.0,-3.1,1.0,5.2,2020
Food at home,12,2019.0,-3.5,0.0,3.8,2020
Food at home,1,2020.0,-2.6,0.0,2.6,2020
Food at home,2,2020.0,-1.2,1.1,3.4,2020
Food at home,3,2020.0,-0.5,1.5,3.4,2020
Food at home,4,2020.0,0.2,1.9,3.6,2020
Food at home,5,2020.0,4.0,5.7,7.5,2020
Food at home,6,2020.0,4.1,5.5,6.9,2020
Food at home,7,2020.0,4.3,5.4,6.4,2020
Food at home,8,2020.0,2.7,3.5,4.3,2020
Food at home,9,2020.0,3.0,3.6,4.2,2020
Food at home,10,2020.0,3.1,3.4,3.8,2020
Food at home,11,2020.0,3.3,3.6,3.8,2020
Food at home,12,2020.0,3.3,3.5,3.6,2020
"Meats, poultry, and fish",7,2019.0,-2.8,2.2,7.4,2020
"Meats, poultry, and fish",8,2019.0,-5.3,0.6,6.9,2020
"Meats, poultry, and fish",9,2019.0,-5.3,0.2,6.2,2020
"Meats, poultry, and fish",10,2019.0,-5.4,-0.1,5.6,2020
"Meats, poultry, and fish",11,2019.0,-4.0,1.0,6.1,2020
"Meats, poultry, and fish",12,2019.0,-4.1,0.5,5.3,2020
"Meats, poultry, and fish",1,2020.0,-2.3,1.6,5.7,2020
"Meats, poultry, and fish",2,2020.0,-2.1,1.3,4.8,2020
"Meats, poultry, and fish",3,2020.0,-1.5,1.5,4.6,2020
"Meats, poultry, and fish",4,2020.0,0.2,2.6,5.1,2020
"Meats, poultry, and fish",5,2020.0,4.8,7.2,9.8,2020
"Meats, poultry, and fish",6,2020.0,8.4,11.2,14.0,2020
"Meats, poultry, and fish",7,2020.0,9.0,11.0,13.2,2020
"Meats, poultry, and fish",8,2020.0,4.0,5.5,7.2,2020
"Meats, poultry, and fish",9,2020.0,5.4,6.5,7.6,2020
"Meats, poultry, and fish",10,2020.0,5.7,6.4,7.2,2020
"Meats, poultry, and fish",11,2020.0,6.0,6.4,6.8,2020
"Meats, poultry, and fish",12,2020.0,6.2,6.3,6.5,2020
Meats,7,2019.0,-6.8,0.2,7.7,2020
Meats,8,2019.0,-5.7,1.5,9.4,2020
Meats,9,2019.0,-6.6,0.3,7.7,2020
Meats,10,2019.0,-6.3,0.4,7.4,2020
Meats,11,2019.0,-4.9,1.3,7.9,2020
Meats,12,2019.0,-4.8,0.8,6.8,2020
Meats,1,2020.0,-3.2,1.7,7.1,2020
Meats,2,2020.0,-2.4,2.0,6.6,2020
Meats,3,2020.0,-1.6,2.2,6.2,2020
Meats,4,2020.0,-0.6,2.6,6.0,2020
Meats,5,2020.0,4.1,7.1,10.4,2020
Meats,6,2020.0,11.1,14.7,18.7,2020
Meats,7,2020.0,12.3,15.2,18.2,2020
Meats,8,2020.0,4.9,6.7,8.6,2020
Meats,9,2020.0,6.8,8.1,9.5,2020
Meats,10,2020.0,6.8,7.7,8.6,2020
Meats,11,2020.0,6.9,7.4,7.9,2020
Meats,12,2020.0,7.2,7.4,7.6,2020
Beef and veal,7,2019.0,-4.5,3.4,11.9,2020
Beef and veal,8,2019.0,-7.1,1.0,9.7,2020
Beef and veal,9,2019.0,-7.6,0.2,8.6,2020
Beef and veal,10,2019.0,-7.4,0.1,8.0,2020
Beef and veal,11,2019.0,-6.5,0.5,8.2,2020
Beef and veal,12,2019.0,-6.1,0.6,7.7,2020
Beef and veal,1,2020.0,-3.2,3.0,9.7,2020
Beef and veal,2,2020.0,-3.5,2.0,7.8,2020
Beef and veal,3,2020.0,-2.3,2.3,7.4,2020
Beef and veal,4,2020.0,-0.9,3.1,7.3,2020
Beef and veal,5,2020.0,4.7,8.2,12.1,2020
Beef and veal,6,2020.0,16.2,21.7,27.9,2020
Beef and veal,7,2020.0,16.7,20.9,25.5,2020
Beef and veal,8,2020.0,7.9,10.6,13.4,2020
Beef and veal,9,2020.0,8.2,10.2,12.2,2020
Beef and veal,10,2020.0,8.3,9.6,11.0,2020
Beef and veal,11,2020.0,9.0,9.7,10.5,2020
Beef and veal,12,2020.0,9.4,9.7,10.0,2020
Pork,7,2019.0,-8.8,0.7,11.1,2020
Pork,8,2019.0,-7.4,1.9,12.4,2020
Pork,9,2019.0,-8.4,0.6,10.3,2020
Pork,10,2019.0,-7.1,1.4,11.0,2020
Pork,11,2019.0,-6.6,1.7,10.8,2020
