cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2002.0,0.5,2.1,3.8,2003
All food,8,2002.0,0.5,2.1,3.8,2003
All food,9,2002.0,0.4,1.9,3.6,2003
All food,10,2002.0,0.5,2.0,3.6,2003
All food,11,2002.0,0.4,1.9,3.3,2003
All food,12,2002.0,0.5,1.9,3.2,2003
All food,1,2003.0,0.6,1.9,3.1,2003
All food,2,2003.0,0.7,1.8,2.9,2003
All food,3,2003.0,1.1,2.0,3.0,2003
All food,4,2003.0,1.2,2.0,2.8,2003
All food,5,2003.0,1.1,1.8,2.5,2003
All food,6,2003.0,1.2,1.8,2.4,2003
All food,7,2003.0,1.5,2.0,2.4,2003
All food,8,2003.0,1.5,1.9,2.3,2003
All food,9,2003.0,1.7,2.0,2.3,2003
All food,10,2003.0,1.7,2.0,2.2,2003
All food,11,2003.0,1.9,2.1,2.2,2003
All food,12,2003.0,2.0,2.1,2.2,2003
Food away from home,7,2002.0,1.3,2.8,4.3,2003
Food away from home,8,2002.0,1.2,2.6,4.0,2003
Food away from home,9,2002.0,1.2,2.5,3.8,2003
Food away from home,10,2002.0,1.4,2.5,3.8,2003
Food away from home,11,2002.0,1.5,2.6,3.7,2003
Food away from home,12,2002.0,1.4,2.3,3.3,2003
Food away from home,1,2003.0,1.8,2.3,2.9,2003
Food away from home,2,2003.0,1.4,1.9,2.4,2003
Food away from home,3,2003.0,1.9,2.2,2.6,2003
Food away from home,4,2003.0,1.9,2.2,2.5,2003
Food away from home,5,2003.0,1.8,2.1,2.4,2003
Food away from home,6,2003.0,1.9,2.1,2.4,2003
Food away from home,7,2003.0,1.9,2.1,2.3,2003
Food away from home,8,2003.0,2.0,2.1,2.3,2003
Food away from home,9,2003.0,2.0,2.1,2.3,2003
Food away from home,10,2003.0,2.0,2.1,2.2,2003
Food away from home,11,2003.0,2.0,2.1,2.2,2003
Food away from home,12,2003.0,2.1,2.1,2.2,2003
Food at home,7,2002.0,-0.7,1.9,4.5,2003
Food at home,8,2002.0,-0.7,1.8,4.3,2003
Food at home,9,2002.0,-0.8,1.6,4.1,2003
Food at home,10,2002.0,-0.8,1.5,4.0,2003
Food at home,11,2002.0,-0.8,1.4,3.6,2003
Food at home,12,2002.0,-0.7,1.4,3.5,2003
Food at home,1,2003.0,-0.4,1.4,3.4,2003
Food at home,2,2003.0,0.0,1.6,3.3,2003
Food at home,3,2003.0,0.5,1.9,3.4,2003
Food at home,4,2003.0,0.6,1.8,3.1,2003
Food at home,5,2003.0,0.4,1.5,2.6,2003
Food at home,6,2003.0,0.7,1.6,2.5,2003
Food at home,7,2003.0,1.1,1.8,2.6,2003
Food at home,8,2003.0,1.2,1.7,2.3,2003
Food at home,9,2003.0,1.4,1.9,2.3,2003
Food at home,10,2003.0,1.6,1.9,2.2,2003
Food at home,11,2003.0,1.8,2.0,2.2,2003
Food at home,12,2003.0,2.0,2.1,2.2,2003
"Meats, poultry, and fish",7,2002.0,-2.2,1.6,5.6,2003
"Meats, poultry, and fish",8,2002.0,-4.5,0.2,5.2,2003
"Meats, poultry, and fish",9,2002.0,-4.8,-0.2,4.4,2003
"Meats, poultry, and fish",10,2002.0,-4.7,-0.6,3.9,2003
"Meats, poultry, and fish",11,2002.0,-4.7,-0.8,3.3,2003
"Meats, poultry, and fish",12,2002.0,-3.8,-0.2,3.5,2003
"Meats, poultry, and fish",1,2003.0,-1.6,0.8,3.3,2003
"Meats, poultry, and fish",2,2003.0,-2.2,-0.1,2.1,2003
"Meats, poultry, and fish",3,2003.0,0.4,2.3,4.3,2003
"Meats, poultry, and fish",4,2003.0,0.4,2.1,3.7,2003
"Meats, poultry, and fish",5,2003.0,0.4,1.8,3.2,2003
"Meats, poultry, and fish",6,2003.0,0.5,1.6,2.8,2003
"Meats, poultry, and fish",7,2003.0,1.7,2.5,3.2,2003
"Meats, poultry, and fish",8,2003.0,2.1,2.9,3.6,2003
"Meats, poultry, and fish",9,2003.0,2.4,2.9,3.5,2003
