cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
Beef and veal,1,2013.0,-2.8,3.9,10.9,2013
Beef and veal,2,2013.0,-2.6,3.1,9.2,2013
Beef and veal,3,2013.0,-1.6,3.3,8.6,2013
Beef and veal,4,2013.0,-1.3,3.0,7.4,2013
Beef and veal,5,2013.0,-1.5,2.0,5.7,2013
Beef and veal,6,2013.0,-0.4,2.4,5.4,2013
Beef and veal,7,2013.0,0.1,2.4,4.8,2013
Beef and veal,8,2013.0,0.7,2.5,4.3,2013
Beef and veal,9,2013.0,0.9,2.1,3.5,2013
Beef and veal,10,2013.0,1.1,1.9,2.8,2013
Beef and veal,11,2013.0,1.5,2.0,2.5,2013
Beef and veal,12,2013.0,1.8,2.0,2.2,2013
Pork,7,2012.0,-8.4,-0.5,8.5,2013
Pork,8,2012.0,-8.0,-0.1,8.5,2013
Pork,9,2012.0,-6.6,1.2,9.7,2013
Pork,10,2012.0,-7.6,-0.2,7.8,2013
Pork,11,2012.0,-6.9,0.2,7.7,2013
Pork,12,2012.0,-8.1,-1.8,5.1,2013
Pork,1,2013.0,-8.7,-3.0,3.1,2013
Pork,2,2013.0,-6.7,-1.8,3.5,2013
Pork,3,2013.0,-5.5,-0.9,3.7,2013
Pork,4,2013.0,-4.4,-0.6,3.5,2013
Pork,5,2013.0,-4.6,-1.3,2.1,2013
Pork,6,2013.0,-3.3,-0.7,2.1,2013
Pork,7,2013.0,-2.5,-0.3,1.9,2013
Pork,8,2013.0,-1.0,0.7,2.5,2013
Pork,9,2013.0,-0.1,1.2,2.5,2013
Pork,10,2013.0,0.3,1.2,2.1,2013
Pork,11,2013.0,0.8,1.4,1.9,2013
Pork,12,2013.0,0.7,0.9,1.1,2013
Other meats,7,2012.0,-2.5,2.2,7.0,2013
Other meats,8,2012.0,-2.9,1.7,6.4,2013
Other meats,9,2012.0,-2.8,1.8,6.6,2013
Other meats,10,2012.0,-3.0,1.4,5.8,2013
Other meats,11,2012.0,-2.4,1.7,5.9,2013
Other meats,12,2012.0,-2.1,1.7,5.8,2013
Other meats,1,2013.0,-1.8,1.8,5.6,2013
Other meats,2,2013.0,-2.4,0.8,4.2,2013
Other meats,3,2013.0,-1.5,1.3,4.3,2013
Other meats,4,2013.0,-1.5,0.9,3.4,2013
Other meats,5,2013.0,-1.2,0.9,3.0,2013
Other meats,6,2013.0,-1.7,0.0,1.8,2013
Other meats,7,2013.0,-1.4,0.0,1.4,2013
Other meats,8,2013.0,-1.6,-0.5,0.7,2013
Other meats,9,2013.0,-1.2,-0.4,0.5,2013
Other meats,10,2013.0,-0.7,-0.1,0.5,2013
Other meats,11,2013.0,-0.4,0.0,0.4,2013
Other meats,12,2013.0,-0.2,0.0,0.2,2013
Poultry,7,2012.0,-2.3,2.7,7.8,2013
Poultry,8,2012.0,-1.2,3.7,8.7,2013
Poultry,9,2012.0,-1.3,3.4,8.1,2013
Poultry,10,2012.0,-1.9,2.6,7.2,2013
Poultry,11,2012.0,-0.5,3.6,8.1,2013
Poultry,12,2012.0,-0.2,3.7,7.9,2013
Poultry,1,2013.0,0.5,4.0,7.7,2013
Poultry,2,2013.0,1.3,4.4,7.7,2013
Poultry,3,2013.0,1.3,4.0,6.9,2013
Poultry,4,2013.0,1.6,3.9,6.3,2013
Poultry,5,2013.0,2.4,4.3,6.4,2013
Poultry,6,2013.0,2.6,4.3,5.9,2013
Poultry,7,2013.0,3.5,4.8,6.2,2013
Poultry,8,2013.0,3.5,4.5,5.6,2013
Poultry,9,2013.0,4.1,4.8,5.6,2013
Poultry,10,2013.0,4.4,5.0,5.5,2013
Poultry,11,2013.0,4.7,5.1,5.4,2013
Poultry,12,2013.0,4.5,4.7,4.9,2013
Fish and seafood,7,2012.0,-1.9,3.1,8.3,2013
Fish and seafood,8,2012.0,-1.2,3.0,7.5,2013
Fish and seafood,9,2012.0,-0.8,2.6,6.2,2013
Fish and seafood,10,2012.0,-0.9,2.5,6.0,2013
Fish and seafood,11,2012.0,-1.9,2.0,6.1,2013
Fish and seafood,12,2012.0,-1.8,1.9,5.6,2013
Fish and seafood,1,2013.0,-2.5,1.0,4.9,2013
Fish and seafood,2,2013.0,-1.5,1.7,5.0,2013
Fish and seafood,3,2013.0,-2.6,0.2,3.0,2013
Fish and seafood,4,2013.0,-1.9,0.6,3.1,2013
Fish and seafood,5,2013.0,0.6,2.8,5.0,2013
Fish and seafood,6,2013.0,0.2,2.0,3.8,2013
Fish and seafood,7,2013.0,0.6,2.0,3.5,2013
Fish and seafood,8,2013.0,0.9,2.1,3.3,2013
Fish and seafood,9,2013.0,1.3,2.2,3.1,2013
Fish and seafood,10,2013.0,1.8,2.4,3.0,2013
Fish and seafood,11,2013.0,2.3,2.6,3.0,2013
Fish and seafood,12,2013.0,2.3,2.6,2.8,2013
Eggs,7,2012.0,-22.0,-2.1,23.1,2013
Eggs,8,2012.0,-21.7,-2.1,22.3,2013
Eggs,9,2012.0,-17.4,2.4,27.5,2013
Eggs,10,2012.0,-17.6,2.1,26.9,2013
Eggs,11,2012.0,-15.8,3.1,25.8,2013
Eggs,12,2012.0,-14.1,3.5,25.6,2013
Eggs,1,2013.0,-12.3,4.5,25.3,2013
Eggs,2,2013.0,-11.6,2.9,21.1,2013
Eggs,3,2013.0,-8.9,4.0,19.3,2013
Eggs,4,2013.0,-8.2,2.4,15.7,2013
Eggs,5,2013.0,-6.3,3.3,14.4,2013
Eggs,6,2013.0,-6.5,1.3,9.9,2013
Eggs,7,2013.0,-4.3,1.8,8.9,2013
Eggs,8,2013.0,-3.2,1.6,7.1,2013
Eggs,9,2013.0,-1.9,1.7,5.7,2013
Eggs,10,2013.0,-0.4,2.1,4.9,2013
Eggs,11,2013.0,0.9,2.4,4.1,2013
Eggs,12,2013.0,2.2,3.0,3.7,2013
Dairy products,7,2012.0,-8.5,-0.6,8.2,2013
Dairy products,8,2012.0,-8.9,-1.0,7.4,2013
Dairy products,9,2012.0,-8.1,-0.7,7.4,2013
Dairy products,10,2012.0,-7.6,-0.3,7.4,2013
Dairy products,11,2012.0,-6.6,0.6,8.0,2013
Dairy products,12,2012.0,-5.2,1.3,8.4,2013
Dairy products,1,2013.0,-4.8,1.1,7.8,2013
Dairy products,2,2013.0,-3.8,1.5,7.3,2013
Dairy products,3,2013.0,-3.7,0.9,5.8,2013
Dairy products,4,2013.0,-3.7,0.2,4.4,2013
Dairy products,5,2013.0,-2.7,0.6,3.9,2013
Dairy products,6,2013.0,-3.0,-0.3,2.4,2013
Dairy products,7,2013.0,-2.2,-0.1,2.1,2013
Dairy products,8,2013.0,-1.7,-0.1,1.5,2013
Dairy products,9,2013.0,-1.0,0.1,1.3,2013
Dairy products,10,2013.0,-0.7,0.1,0.9,2013
Dairy products,11,2013.0,-0.4,0.0,0.5,2013
Dairy products,12,2013.0,-0.1,0.1,0.3,2013
Fats and oils,7,2012.0,-3.3,3.1,10.1,2013
Fats and oils,8,2012.0,-3.4,2.9,9.7,2013
Fats and oils,9,2012.0,-3.7,2.6,9.2,2013
Fats and oils,10,2012.0,-3.0,3.0,9.3,2013
Fats and oils,11,2012.0,-3.1,2.7,8.7,2013
Fats and oils,12,2012.0,-3.6,1.8,7.5,2013
Fats and oils,1,2013.0,-3.4,1.4,6.5,2013
Fats and oils,2,2013.0,-1.9,2.5,7.0,2013
Fats and oils,3,2013.0,-2.5,1.2,5.2,2013
Fats and oils,4,2013.0,-3.0,0.2,3.5,2013
Fats and oils,5,2013.0,-2.7,0.0,2.8,2013
Fats and oils,6,2013.0,-2.5,-0.2,2.1,2013
Fats and oils,7,2013.0,-2.6,-0.8,1.1,2013
Fats and oils,8,2013.0,-2.3,-0.9,0.5,2013
Fats and oils,9,2013.0,-2.0,-0.9,0.1,2013
Fats and oils,10,2013.0,-1.9,-1.1,-0.4,2013
Fats and oils,11,2013.0,-1.6,-1.1,-0.7,2013
Fats and oils,12,2013.0,-1.6,-1.4,-1.2,2013
Fruits and vegetables,7,2012.0,-1.1,3.3,7.7,2013
Fruits and vegetables,8,2012.0,-1.2,3.1,7.7,2013
Fruits and vegetables,9,2012.0,-1.2,3.1,7.6,2013
Fruits and vegetables,10,2012.0,-1.2,3.1,7.7,2013
Fruits and vegetables,11,2012.0,-1.1,3.1,7.5,2013
Fruits and vegetables,12,2012.0,-1.2,2.9,7.3,2013
Fruits and vegetables,1,2013.0,-0.7,3.3,7.4,2013
Fruits and vegetables,2,2013.0,0.5,4.1,7.9,2013
Fruits and vegetables,3,2013.0,0.5,3.9,7.4,2013
Fruits and vegetables,4,2013.0,0.7,3.6,6.7,2013
Fruits and vegetables,5,2013.0,0.4,3.1,5.8,2013
Fruits and vegetables,6,2013.0,1.1,3.4,5.8,2013
Fruits and vegetables,7,2013.0,0.8,2.8,4.8,2013
Fruits and vegetables,8,2013.0,1.2,2.8,4.6,2013
Fruits and vegetables,9,2013.0,1.7,3.0,4.4,2013
Fruits and vegetables,10,2013.0,1.8,2.8,3.7,2013
Fruits and vegetables,11,2013.0,2.2,2.8,3.4,2013
Fruits and vegetables,12,2013.0,2.3,2.6,2.9,2013
Fresh fruits and vegetables,7,2012.0,-2.1,3.3,8.9,2013
Fresh fruits and vegetables,8,2012.0,-2.4,3.2,9.1,2013
Fresh fruits and vegetables,9,2012.0,-2.4,3.2,9.0,2013
Fresh fruits and vegetables,10,2012.0,-2.3,3.2,8.9,2013
Fresh fruits and vegetables,11,2012.0,-2.3,3.2,9.1,2013
Fresh fruits and vegetables,12,2012.0,-2.2,3.1,8.8,2013
Fresh fruits and vegetables,1,2013.0,-1.2,3.9,9.1,2013
Fresh fruits and vegetables,2,2013.0,-0.2,4.5,9.4,2013
Fresh fruits and vegetables,3,2013.0,0.1,4.4,8.8,2013
Fresh fruits and vegetables,4,2013.0,0.4,4.1,8.1,2013
Fresh fruits and vegetables,5,2013.0,0.3,3.6,7.1,2013
Fresh fruits and vegetables,6,2013.0,1.0,3.9,7.0,2013
Fresh fruits and vegetables,7,2013.0,0.6,3.1,5.8,2013
Fresh fruits and vegetables,8,2013.0,1.2,3.3,5.5,2013
Fresh fruits and vegetables,9,2013.0,1.9,3.6,5.3,2013
Fresh fruits and vegetables,10,2013.0,2.1,3.3,4.6,2013
Fresh fruits and vegetables,11,2013.0,2.8,3.5,4.3,2013
Fresh fruits and vegetables,12,2013.0,3.0,3.3,3.6,2013
Fresh fruits,7,2012.0,-6.4,0.1,7.0,2013
Fresh fruits,8,2012.0,-6.4,-0.1,6.7,2013
Fresh fruits,9,2012.0,-6.1,0.3,7.2,2013
Fresh fruits,10,2012.0,-6.0,0.3,7.0,2013
Fresh fruits,11,2012.0,-5.5,0.7,7.3,2013
Fresh fruits,12,2012.0,-4.9,1.0,7.7,2013
Fresh fruits,1,2013.0,-1.2,4.0,9.5,2013
Fresh fruits,2,2013.0,-1.3,3.4,8.4,2013
Fresh fruits,3,2013.0,-0.8,3.4,7.7,2013
Fresh fruits,4,2013.0,-0.7,3.0,6.9,2013
Fresh fruits,5,2013.0,-0.7,2.6,5.9,2013
Fresh fruits,6,2013.0,0.7,3.5,6.5,2013
Fresh fruits,7,2013.0,-0.3,2.1,4.7,2013
Fresh fruits,8,2013.0,-0.6,1.4,3.7,2013
Fresh fruits,9,2013.0,0.5,2.1,3.8,2013
Fresh fruits,10,2013.0,0.3,1.5,2.8,2013
Fresh fruits,11,2013.0,1.1,1.9,2.7,2013
Fresh fruits,12,2013.0,1.5,1.9,2.3,2013
Fresh vegetables,7,2012.0,-1.1,4.7,11.3,2013
Fresh vegetables,8,2012.0,-1.1,5.0,11.4,2013
Fresh vegetables,9,2012.0,-1.2,5.1,11.6,2013
Fresh vegetables,10,2012.0,-1.1,5.1,11.7,2013
Fresh vegetables,11,2012.0,-1.2,5.0,11.6,2013
Fresh vegetables,12,2012.0,-1.8,4.6,11.2,2013
Fresh vegetables,1,2013.0,-1.5,4.4,10.7,2013
Fresh vegetables,2,2013.0,1.0,6.6,12.5,2013
Fresh vegetables,3,2013.0,0.9,5.9,11.1,2013
Fresh vegetables,4,2013.0,1.5,5.9,10.8,2013
Fresh vegetables,5,2013.0,0.9,4.9,9.3,2013
Fresh vegetables,6,2013.0,0.9,4.6,8.5,2013
