product_name,year,month,us_city_average_retail_price,category
American Cheese,1997,8,3.352,Dairy Products
American Cheese,1997,9,3.359,Dairy Products
American Cheese,1997,10,3.419,Dairy Products
American Cheese,1997,11,3.497,Dairy Products
American Cheese,1997,12,3.439,Dairy Products
American Cheese,1998,1,3.539,Dairy Products
American Cheese,1998,2,3.475,Dairy Products
American Cheese,1998,3,3.572,Dairy Products
American Cheese,1998,4,3.535,Dairy Products
American Cheese,1998,5,3.539,Dairy Products
American Cheese,1998,6,3.516,Dairy Products
American Cheese,1998,7,3.636,Dairy Products
American Cheese,1998,8,3.479,Dairy Products
American Cheese,1998,9,3.617,Dairy Products
American Cheese,1998,10,3.63,Dairy Products
American Cheese,1998,11,3.803,Dairy Products
American Cheese,1998,12,3.738,Dairy Products
American Cheese,1999,1,3.814,Dairy Products
American Cheese,1999,2,3.723,Dairy Products
American Cheese,1999,3,3.878,Dairy Products
American Cheese,1999,4,3.748,Dairy Products
American Cheese,1999,5,3.806,Dairy Products
American Cheese,1999,6,3.779,Dairy Products
American Cheese,1999,7,3.736,Dairy Products
American Cheese,1999,8,3.866,Dairy Products
American Cheese,1999,9,3.884,Dairy Products
American Cheese,1999,10,3.858,Dairy Products
American Cheese,1999,11,3.789,Dairy Products
American Cheese,1999,12,3.85,Dairy Products
American Cheese,2000,1,3.843,Dairy Products
American Cheese,2000,2,3.731,Dairy Products
American Cheese,2000,3,3.845,Dairy Products
American Cheese,2000,4,3.747,Dairy Products
American Cheese,2000,5,3.692,Dairy Products
American Cheese,2000,6,3.622,Dairy Products
American Cheese,2000,7,3.628,Dairy Products
American Cheese,2000,8,3.649,Dairy Products
American Cheese,2000,9,3.65,Dairy Products
American Cheese,2000,10,3.64,Dairy Products
American Cheese,2000,11,3.639,Dairy Products
American Cheese,2000,12,3.693,Dairy Products
American Cheese,2001,1,3.674,Dairy Products
American Cheese,2001,2,3.693,Dairy Products
American Cheese,2001,3,3.723,Dairy Products
American Cheese,2001,4,3.738,Dairy Products
American Cheese,2001,5,3.862,Dairy Products
American Cheese,2001,6,3.949,Dairy Products
American Cheese,2001,7,3.928,Dairy Products
American Cheese,2001,8,3.918,Dairy Products
American Cheese,2001,9,3.984,Dairy Products
American Cheese,2001,10,4.023,Dairy Products
American Cheese,2001,11,3.971,Dairy Products
American Cheese,2001,12,3.994,Dairy Products
American Cheese,2002,1,3.937,Dairy Products
American Cheese,2002,2,3.869,Dairy Products
American Cheese,2002,3,3.885,Dairy Products
American Cheese,2002,4,3.93,Dairy Products
American Cheese,2002,5,3.868,Dairy Products
American Cheese,2002,6,3.856,Dairy Products
American Cheese,2002,7,3.783,Dairy Products
American Cheese,2002,8,3.895,Dairy Products
American Cheese,2002,9,3.841,Dairy Products
American Cheese,2002,10,3.92,Dairy Products
American Cheese,2002,11,3.941,Dairy Products
American Cheese,2002,12,3.842,Dairy Products
American Cheese,2003,1,3.713,Dairy Products
American Cheese,2003,2,3.844,Dairy Products
American Cheese,2003,3,3.814,Dairy Products
American Cheese,2003,4,3.76,Dairy Products
American Cheese,2003,5,3.589,Dairy Products
American Cheese,2003,6,3.769,Dairy Products
American Cheese,2003,7,3.688,Dairy Products
American Cheese,2003,8,3.815,Dairy Products
American Cheese,2003,9,3.803,Dairy Products
American Cheese,2003,10,3.714,Dairy Products
American Cheese,2003,11,3.905,Dairy Products
American Cheese,2003,12,3.843,Dairy Products
American Cheese,2004,1,3.813,Dairy Products
American Cheese,2004,2,3.937,Dairy Products
American Cheese,2004,3,3.895,Dairy Products
American Cheese,2004,4,3.848,Dairy Products
American Cheese,2004,5,4.052,Dairy Products
American Cheese,2004,6,4.09,Dairy Products
American Cheese,2004,7,4.077,Dairy Products
American Cheese,2004,8,4.113,Dairy Products
American Cheese,2004,9,4.03,Dairy Products
American Cheese,2004,10,4.032,Dairy Products
American Cheese,2004,11,3.988,Dairy Products
American Cheese,2004,12,3.937,Dairy Products
American Cheese,2005,1,3.876,Dairy Products
American Cheese,2005,2,3.873,Dairy Products
American Cheese,2005,3,3.843,Dairy Products
American Cheese,2005,4,3.84,Dairy Products
American Cheese,2005,5,3.776,Dairy Products
American Cheese,2005,6,3.829,Dairy Products
American Cheese,2005,7,3.895,Dairy Products
American Cheese,2005,8,3.926,Dairy Products
American Cheese,2005,9,3.948,Dairy Products
American Cheese,2005,10,3.903,Dairy Products
American Cheese,2005,11,3.945,Dairy Products
American Cheese,2005,12,3.915,Dairy Products
American Cheese,2006,1,3.938,Dairy Products
American Cheese,2006,2,3.886,Dairy Products
American Cheese,2006,3,3.836,Dairy Products
American Cheese,2006,4,3.814,Dairy Products
American Cheese,2006,5,3.701,Dairy Products
American Cheese,2006,6,3.526,Dairy Products
American Cheese,2006,7,3.581,Dairy Products
American Cheese,2006,8,3.654,Dairy Products
American Cheese,2006,9,3.756,Dairy Products
American Cheese,2006,10,3.63,Dairy Products
American Cheese,2006,11,3.712,Dairy Products
American Cheese,2006,12,3.605,Dairy Products
American Cheese,2007,1,3.771,Dairy Products
American Cheese,2007,2,3.705,Dairy Products
American Cheese,2007,3,3.769,Dairy Products
American Cheese,2007,4,3.73,Dairy Products
American Cheese,2007,5,3.739,Dairy Products
American Cheese,2007,6,3.629,Dairy Products
American Cheese,2007,7,3.757,Dairy Products
American Cheese,2007,8,3.972,Dairy Products
